n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,5,0,0.0,100000.0,0.32221052169716113,0.7022195336615259,0.32597521798990364,55.00000000000001,12.782430394152993,499.94133904985387,0.14137442409992218,0.002526972137555748,8.0,0.6740247820100964,1603.4451124368977,2.0,hops_0,42
5,5,0,1.0,100000.0,0.3152340836295029,0.6974169735590653,0.2567630476387524,61.0,12.41468456311355,499.87778747857027,0.14032362401485443,0.002523991392664176,8.0,0.7432369523612476,1784.759276789095,2.0,hops_1,42
5,5,0,3.0,100000.0,0.3152340836295029,0.6974169735590653,0.2567630476387524,61.0,12.41468456311355,499.87778747857027,0.14032362401485443,0.002523991392664176,8.0,0.7432369523612476,1792.8261727003803,1.9,hops_3,42
5,5,0,999.0,100000.0,0.3152340836295029,0.6974169735590653,0.2567630476387524,61.0,12.41468456311355,499.87778747857027,0.14032362401485443,0.002523991392664176,8.0,0.7432369523612476,1792.8261727003803,2.0,hops_inf,42
5,5,0,0.0,100000.0,0.28445438989074634,0.6465868756597501,0.42906208718626154,60.0,11.278083617297435,499.9110737074292,0.13032378256320953,0.0029524391683096287,8.0,0.5709379128137384,1598.7184500220167,2.0,hops_0,123
5,5,0,1.0,100000.0,0.30038172963011717,0.6789555454027772,0.32465226398342706,60.0,11.84020573291126,499.92096830263733,0.13715171813964844,0.0029380001010709013,8.0,0.6753477360165729,1761.5416632188665,2.0,hops_1,123
5,5,0,3.0,100000.0,0.2735509630994691,0.6215164708586433,0.42755486181250574,54.50000000000001,10.797489268703648,499.889408952508,0.1257375031709671,0.0029354768957752827,8.0,0.5724451381874942,1665.3226096400883,2.1,hops_3,123
5,5,0,999.0,100000.0,0.2735509630994691,0.6215164708586433,0.42755486181250574,54.50000000000001,10.797489268703648,499.889408952508,0.1257375031709671,0.0029354768957752827,8.0,0.5724451381874942,1665.3226096400883,2.2,hops_inf,123
5,5,0,0.0,100000.0,0.26617963231099995,0.6069402134963786,0.4042229315001228,55.00000000000001,10.582811036869298,499.9064900969196,0.12211302667856216,0.002287755256947105,4.0,0.5957770684998772,1614.8167444144365,1.7,hops_0,456
5,5,0,1.0,100000.0,0.30845509192225,0.6538066714622371,0.31836912784214866,56.49999999999999,12.184788474123243,499.91659264623877,0.13160499930381775,0.002281862092784183,4.0,0.6816308721578513,1585.5397260273974,2.0,hops_1,456
5,5,0,3.0,100000.0,0.35224430696327497,0.762490041953399,0.20534521158129176,68.5,13.962975145077202,499.91020701693407,0.1532374620437622,0.0022764686721446505,4.0,0.7946547884187083,1627.6172225644636,1.9,hops_3,456
5,5,0,999.0,100000.0,0.35224430696327497,0.762490041953399,0.20534521158129176,68.5,13.962975145077202,499.91020701693407,0.1532374620437622,0.0022764686721446505,4.0,0.7946547884187083,1627.6172225644636,2.0,hops_inf,456
5,5,0,0.0,100000.0,0.26547760080733623,0.588250417329701,0.4824872770816405,47.0,10.590943778058014,499.8495085434605,0.11922664940357208,0.002023111220470335,20.0,0.5175127229183595,1267.663687294188,1.9,hops_0,789
5,5,0,1.0,100000.0,0.32174981352288184,0.7102602118866175,0.24218467421071668,58.5,12.766054366960239,499.9350538028646,0.1426362544298172,0.002021778636154871,20.0,0.7578153257892833,1597.4700832238284,2.1,hops_1,789
5,5,0,3.0,100000.0,0.28289675749199245,0.632766429645625,0.3597318768619662,51.0,11.195462124935062,499.93725753356927,0.12787342071533203,0.002018512859633075,20.0,0.6402681231380337,1657.376218655541,2.0,hops_3,789
5,5,0,999.0,100000.0,0.28289675749199245,0.632766429645625,0.3597318768619662,51.0,11.195462124935062,499.93725753356927,0.12787342071533203,0.002018512859633075,20.0,0.6402681231380337,1657.376218655541,2.0,hops_inf,789
5,5,0,0.0,100000.0,0.25847922425518843,0.5715541375879686,0.5184927867914504,48.5,10.261104452284355,499.8823925957482,0.1153293251991272,0.0028467141293881766,4.0,0.4815072132085496,1235.5033307450244,2.0,hops_0,2025
5,5,0,1.0,100000.0,0.2989557281383002,0.6592028554080942,0.33578670306102554,53.5,11.758923360507993,499.897650800187,0.13267937302589417,0.0028422304696619463,4.0,0.6642132969389745,1769.883820564516,2.1,hops_1,2025
5,5,0,3.0,100000.0,0.299526128735027,0.6393402428747438,0.3487717624612449,56.00000000000001,11.81341609364106,499.8797116488252,0.12894189357757568,0.002843144980475599,4.0,0.651228237538755,1777.5225963845785,2.0,hops_3,2025
5,5,0,999.0,100000.0,0.299526128735027,0.6393402428747438,0.3487717624612449,56.00000000000001,11.81341609364106,499.8797116488252,0.12894189357757568,0.002843144980475599,4.0,0.651228237538755,1777.5225963845785,2.1,hops_inf,2025
