n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed,N,Budget_per_agent_km
5,3,2,1.0,100000.0,0.056518129862389715,0.23219979141539232,0.3209079283887468,27.0,10.111423012046709,448.1058709005788,0.11276032030582428,0.002505753900818677,17.0,0.6790920716112532,1568.3910160304463,3.4,Swarm_5,789,5,100.0
5,5,0,,100000.0,,,,27.0,13.33578430321985,500.00000000000034,0.1253847600318131,0.001789310648839608,,,,4.3,Greedy,789,5,100.0
5,5,0,,100000.0,,,,23.5,33.151101460832784,499.9999999999998,0.13513656921665185,0.0004627592819281773,,,,1.0,Spiral,789,5,100.0
5,5,0,,100000.0,,,,45.0,32.55850596222095,499.9999999999994,0.20434714324239675,0.0013149308163302683,,,,0.3,Pizza,789,5,100.0
5,3,2,1.0,100000.0,0.06342525090196996,0.2555405939296212,0.25710545998504114,23.0,11.359831413954803,458.55845213559866,0.12377575784921646,0.0025124297092735635,40.0,0.7428945400149589,1562.748761378039,3.3,Swarm_5,2025,5,100.0
5,5,0,,100000.0,,,,26.0,15.683664999760245,500.0000000000001,0.13922856472564032,0.0014200347705250753,,,,4.2,Greedy,2025,5,100.0
5,5,0,,100000.0,,,,31.5,33.151101460832784,499.9999999999998,0.13513656921665185,0.0004627592819281773,,,,1.0,Spiral,2025,5,100.0
5,5,0,,100000.0,,,,38.5,32.55850596222095,499.9999999999994,0.20434714324239675,0.0013149308163302683,,,,0.3,Pizza,2025,5,100.0
7,4,3,1.0,71428.57142857143,0.061669203180042785,0.2597204647343305,0.29210188748396554,25.5,12.142128037565344,465.09991015969206,0.13017243146896362,0.0019639174071765624,0.0,0.7078981125160344,1161.993310866013,3.7,Swarm_7,42,7,71.42857142857143
7,7,0,,71428.57142857143,,,,22.0,14.401412377178444,500.0,0.12391486376106278,0.0026941136034811576,,,,4.3,Greedy,42,7,71.42857142857143
7,7,0,,71428.57142857143,,,,27.500000000000004,33.15789149202055,499.99999999999994,0.13186070088707566,0.00046273927432188806,,,,1.1,Spiral,42,7,71.42857142857143
7,7,0,,71428.57142857143,,,,35.0,32.34282685930436,499.9999999999994,0.20333277415357462,0.0013957604758133176,,,,0.3,Pizza,42,7,71.42857142857143
7,4,3,1.0,71428.57142857143,0.06052511148242356,0.25394222307112785,0.30233699319143714,27.500000000000004,11.793928178535545,454.75757462108976,0.12743888795375824,0.0019636303088306716,2.0,0.6976630068085629,1179.6194315245477,3.6,Swarm_7,123,7,71.42857142857143
7,7,0,,71428.57142857143,,,,19.0,12.212963054806078,500.0000000000009,0.10554630356633747,0.0027726528180641165,,,,4.3,Greedy,123,7,71.42857142857143
7,7,0,,71428.57142857143,,,,28.000000000000004,33.15789149202055,499.99999999999994,0.13186070088707566,0.00046273927432188806,,,,1.1,Spiral,123,7,71.42857142857143
7,7,0,,71428.57142857143,,,,46.5,32.34282685930436,499.9999999999994,0.20333277415357462,0.0013957604758133176,,,,0.4,Pizza,123,7,71.42857142857143
7,4,3,1.0,71428.57142857143,0.06064750268728515,0.254701594699633,0.3006259204712813,26.0,11.80033634683091,455.7270997788094,0.12785585224628448,0.0019639174071765624,6.0,0.6993740795287187,1183.4518763568697,3.6,Swarm_7,456,7,71.42857142857143
7,7,0,,71428.57142857143,,,,24.0,14.006311048034048,499.99999999999955,0.11690555991713371,0.002783111233531573,,,,4.2,Greedy,456,7,71.42857142857143
7,7,0,,71428.57142857143,,,,24.5,33.15789149202055,499.99999999999994,0.13186070088707566,0.00046273927432188806,,,,1.1,Spiral,456,7,71.42857142857143
7,7,0,,71428.57142857143,,,,43.0,32.34282685930436,499.9999999999994,0.20333277415357462,0.0013957604758133176,,,,0.3,Pizza,456,7,71.42857142857143
7,4,3,1.0,71428.57142857143,0.06158406147231298,0.25860441235124765,0.29264714870729175,31.5,12.049959821782574,463.75070123729427,0.1296156793832779,0.0019657613437965766,11.0,0.7073528512927083,1165.8674766450558,3.5,Swarm_7,789,7,71.42857142857143
7,7,0,,71428.57142857143,,,,34.0,15.635379549712605,500.00000000000045,0.1498142670052225,0.0027723069980707562,,,,4.3,Greedy,789,7,71.42857142857143
7,7,0,,71428.57142857143,,,,24.5,33.15789149202055,499.99999999999994,0.13186070088707566,0.00046273927432188806,,,,1.1,Spiral,789,7,71.42857142857143
7,7,0,,71428.57142857143,,,,44.5,32.34282685930436,499.9999999999994,0.20333277415357462,0.0013957604758133176,,,,0.3,Pizza,789,7,71.42857142857143
7,4,3,1.0,71428.57142857143,0.06065814540075137,0.2539571579939384,0.29934230745589774,25.0,11.786473178938653,457.70305065642333,0.12745401263237,0.0019643719067838493,11.0,0.7006576925441023,1181.7162518756145,3.5,Swarm_7,2025,7,71.42857142857143
7,7,0,,71428.57142857143,,,,28.999999999999996,15.221219807401043,500.0000000000001,0.13972609336832392,0.002727937389016205,,,,4.2,Greedy,2025,7,71.42857142857143
7,7,0,,71428.57142857143,,,,28.499999999999996,33.15789149202055,499.99999999999994,0.13186070088707566,0.00046273927432188806,,,,1.1,Spiral,2025,7,71.42857142857143
7,7,0,,71428.57142857143,,,,38.0,32.34282685930436,499.9999999999994,0.20333277415357462,0.0013957604758133176,,,,0.3,Pizza,2025,7,71.42857142857143
10,6,4,1.0,50000.0,0.0701993380232224,0.23777649671844375,0.2884573894282632,24.0,13.26927148445827,474.17330887825466,0.12000773847103119,0.0017070237621995004,21.0,0.7115426105717367,741.336410166674,3.7,Swarm_10,42,10,50.0
10,10,0,,50000.0,,,,28.499999999999996,15.945857687130935,499.9999999999991,0.15798233107753118,0.0009820329402003398,,,,4.3,Greedy,42,10,50.0
10,10,0,,50000.0,,,,27.500000000000004,33.16806147594171,500.00000000000153,0.12727899446479793,0.0004641989093637728,,,,1.3,Spiral,42,10,50.0
10,10,0,,50000.0,,,,34.5,32.001207201670205,500.00000000000017,0.2011294630574583,0.001517839602623692,,,,0.3,Pizza,42,10,50.0
10,6,4,1.0,50000.0,0.07308351337256946,0.2607746418161037,0.28161941625693065,29.5,13.90455522594327,473.7255164741562,0.13163267076015472,0.0017009507725841565,0.0,0.7183805837430693,637.8419641096431,4.0,Swarm_10,123,10,50.0
10,10,0,,50000.0,,,,36.0,16.68230633875583,499.99999999999903,0.16326645737862633,0.0015065605589978702,,,,4.2,Greedy,123,10,50.0
10,10,0,,50000.0,,,,28.999999999999996,33.16806147594171,500.00000000000153,0.12727899446479793,0.0004641989093637728,,,,1.3,Spiral,123,10,50.0
10,10,0,,50000.0,,,,45.5,32.001207201670205,500.00000000000017,0.2011294630574583,0.001517839602623692,,,,0.3,Pizza,123,10,50.0
