n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,5,0,1.0,100000.0,0.3152340836295029,0.6974169735590653,0.2567630476387524,61.0,12.41468456311355,499.87778747857027,0.14032362401485443,0.002523991392664176,8.0,0.7432369523612476,1784.759276789095,1.9,Drones_5D,42
5,0,5,1.0,100000.0,0.11497959720942477,0.3548436424481702,0.5194388410049514,28.999999999999996,6.78837203915841,561.7773103301457,0.08326118439435959,0.0001723104129170572,8.0,0.4805611589950486,1668.4974405548217,1.7,Dogs_5P,42
5,3,2,1.0,100000.0,0.24718090474310034,0.5818045942640135,0.2745943857841875,53.5,10.817692455252635,504.895853800602,0.12210988253355026,0.002522347113363638,8.0,0.7254056142158125,1762.803077799943,1.6,Mixed_3D2P,42
5,5,0,1.0,100000.0,0.30038172963011717,0.6789555454027772,0.32465226398342706,60.0,11.84020573291126,499.92096830263733,0.13715171813964844,0.0029380001010709013,8.0,0.6753477360165729,1761.5416632188665,2.3,Drones_5D,123
5,0,5,1.0,100000.0,0.11618621385634681,0.3616714250367451,0.5188079229511176,35.0,6.929207097194964,565.2035900977465,0.08513890951871872,0.0018631870928804274,9.0,0.48119207704888245,1705.171322460843,1.4,Dogs_5P,123
5,3,2,1.0,100000.0,0.23452239919266377,0.5800971190681972,0.39147264757784483,52.0,10.105302841387802,527.4111871064604,0.11964192241430283,0.0029375746203238063,8.0,0.6085273524221552,2055.2456568557072,1.8,Mixed_3D2P,123
5,5,0,1.0,100000.0,0.30845509192225,0.6538066714622371,0.31836912784214866,56.49999999999999,12.184788474123243,499.91659264623877,0.13160499930381775,0.002281862092784183,4.0,0.6816308721578513,1585.5397260273974,2.2,Drones_5D,456
5,0,5,1.0,100000.0,0.10313281558509937,0.3227236735952563,0.55638388223082,28.000000000000004,6.006878959710774,590.9297432910894,0.07503217458724976,0.00014548314367786013,4.0,0.44361611776918,1550.6724448078496,1.6,Dogs_5P,456
5,3,2,1.0,100000.0,0.2705015137554298,0.6160985923317693,0.27346650167933534,51.5,11.322948841642813,496.8285638741481,0.12549328804016113,0.002281855792779887,4.0,0.7265334983206647,1709.5965423870027,1.7,Mixed_3D2P,456
5,5,0,1.0,100000.0,0.32174981352288184,0.7102602118866175,0.24218467421071668,58.5,12.766054366960239,499.9350538028646,0.1426362544298172,0.002021778636154871,20.0,0.7578153257892833,1597.4700832238284,2.3,Drones_5D,789
5,0,5,1.0,100000.0,0.11524285902329867,0.36167764637671207,0.5130249374246778,33.5,6.948579794719633,591.2812297361105,0.08543595671653748,0.0011370777335601963,18.0,0.48697506257532214,1800.8826062684425,1.8,Dogs_5P,789
5,3,2,1.0,100000.0,0.2447018559957878,0.5688218955723742,0.3637556328789002,48.5,10.59651383510848,501.58564149838315,0.11797495931386948,0.0020212718375473655,20.0,0.6362443671210998,1728.9820589942483,1.9,Mixed_3D2P,789
5,5,0,1.0,100000.0,0.2989557281383002,0.6592028554080942,0.33578670306102554,53.5,11.758923360507993,499.897650800187,0.13267937302589417,0.0028422304696619463,4.0,0.6642132969389745,1769.883820564516,2.3,Drones_5D,2025
5,0,5,1.0,100000.0,0.11756833837918476,0.36069171198566563,0.515723838785469,33.0,7.542331900795742,580.3000338325303,0.0863245502114296,0.0005437822867732262,4.0,0.484276161214531,1658.181100356597,1.5,Dogs_5P,2025
5,3,2,1.0,100000.0,0.23737440217629766,0.5826938814783738,0.33562569077735477,49.5,10.363435923867657,524.1514914280025,0.1210562214255333,0.0028447971120345895,4.0,0.6643743092226452,2138.6478633335005,2.1,Mixed_3D2P,2025
