n_agents,num_drones,num_dogs,max_hops,kill_fraction,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,5,0,,0.4,100000.0,,,,44.0,9.340484306509484,359.99999999999955,0.08304812362977589,0.0019188669982804296,,,,4.1,Greedy,2025
5,3,2,1.0,0.6,100000.0,0.20457636786450792,0.5195590754444759,0.2837391504723865,48.0,9.314013959872751,431.3115781147629,0.11047375202178955,0.0025217821423196636,8.0,0.7162608495276135,1989.9096882333222,1.3,Swarm_3D2P,42
5,5,0,,0.6,100000.0,,,,52.5,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,Pizza,42
5,5,0,,0.6,100000.0,,,,26.0,7.372478070868473,290.0000000000002,0.06415550526456353,0.00203790583661632,,,,4.3,Greedy,42
5,3,2,1.0,0.6,100000.0,0.21170637532359265,0.5344190660122327,0.3835835196422868,49.5,9.149223391879358,472.32468169629993,0.11014409363269806,0.0029379922672481016,8.0,0.6164164803577132,2311.7134879268165,1.5,Swarm_3D2P,123
5,5,0,,0.6,100000.0,,,,47.0,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,Pizza,123
5,5,0,,0.6,100000.0,,,,32.0,8.709077732574857,290.0000000000001,0.08394091061850188,0.002008634790481267,,,,4.4,Greedy,123
5,3,2,1.0,0.6,100000.0,0.22837962353560615,0.5422015049217772,0.2790359443174735,43.5,9.743967766531004,434.4788765928325,0.11123696714639664,0.0022785970264690572,4.0,0.7209640556825265,1952.15572118028,1.3,Swarm_3D2P,456
5,5,0,,0.6,100000.0,,,,52.0,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,Pizza,456
5,5,0,,0.6,100000.0,,,,44.5,9.487314534879806,289.99999999999943,0.10011030536190815,0.0015982120222857465,,,,4.1,Greedy,456
5,3,2,1.0,0.6,100000.0,0.1956474046772849,0.49079711802831744,0.38901068785968757,40.0,8.724555913317946,437.7954899726211,0.10238395631313324,0.0020213262301565994,20.0,0.6109893121403124,1951.602028824148,1.3,Swarm_3D2P,789
5,5,0,,0.6,100000.0,,,,48.5,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,Pizza,789
5,5,0,,0.6,100000.0,,,,35.0,8.28203772822628,290.00000000000034,0.08764308701587169,0.0013903824391779671,,,,4.1,Greedy,789
5,3,2,1.0,0.6,100000.0,0.20655083146856215,0.5337489569511178,0.31755581327921134,46.5,9.239572305961149,456.33564487777386,0.11123568564653397,0.0028457348121244757,4.0,0.6824441867207887,2382.284011679876,1.5,Swarm_3D2P,2025
5,5,0,,0.6,100000.0,,,,49.0,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.1,Pizza,2025
5,5,0,,0.6,100000.0,,,,50.5,9.93875492753408,290.00000000000034,0.11249069254917661,0.0019087523457485289,,,,4.1,Greedy,2025
