tick,agent_a,agent_b
530,drone_0,drone_1
530,drone_0,drone_4
531,drone_0,drone_1
531,drone_0,drone_4
531,drone_1,drone_3
532,drone_0,drone_1
532,drone_0,drone_4
533,drone_0,drone_1
533,drone_0,drone_4
533,drone_1,drone_3
534,drone_0,drone_1
534,drone_0,drone_4
535,drone_0,drone_1
535,drone_0,drone_4
535,drone_1,drone_3
536,drone_0,drone_1
536,drone_0,drone_4
537,drone_0,drone_1
537,drone_0,drone_4
538,drone_0,drone_1
538,drone_0,drone_4
539,drone_0,drone_1
539,drone_0,drone_4
539,drone_1,drone_3
540,drone_0,drone_1
540,drone_0,drone_4
541,drone_0,drone_1
541,drone_0,drone_4
541,drone_1,drone_3
542,drone_0,drone_1
542,drone_0,drone_4
543,drone_0,drone_1
543,drone_0,drone_4
543,drone_1,drone_3
544,drone_0,drone_1
544,drone_0,drone_4
545,drone_0,drone_1
545,drone_0,drone_4
545,drone_1,drone_3
546,drone_0,drone_1
546,drone_0,drone_4
547,drone_0,drone_1
547,drone_0,drone_4
547,drone_1,drone_3
548,drone_0,drone_1
548,drone_0,drone_4
549,drone_0,drone_1
549,drone_0,drone_4
549,drone_1,drone_3
550,drone_0,drone_1
550,drone_0,drone_4
551,drone_0,drone_1
551,drone_0,drone_4
551,drone_1,drone_3
552,drone_0,drone_1
552,drone_0,drone_4
553,drone_0,drone_1
553,drone_0,drone_4
553,drone_1,drone_3
554,drone_0,drone_1
554,drone_0,drone_4
555,drone_0,drone_1
555,drone_0,drone_4
555,drone_1,drone_3
556,drone_0,drone_1
556,drone_0,drone_4
557,drone_0,drone_1
557,drone_0,drone_4
557,drone_1,drone_3
558,drone_0,drone_1
558,drone_0,drone_4
558,drone_1,drone_4
559,drone_0,drone_1
559,drone_0,drone_4
559,drone_1,drone_3
560,drone_0,drone_1
560,drone_0,drone_4
560,drone_1,drone_4
561,drone_0,drone_1
561,drone_0,drone_4
561,drone_1,drone_3
562,drone_0,drone_1
562,drone_0,drone_4
562,drone_1,drone_4
563,drone_0,drone_1
563,drone_0,drone_3
563,drone_0,drone_4
563,drone_1,drone_3
564,drone_0,drone_1
564,drone_0,drone_3
564,drone_0,drone_4
564,drone_1,drone_4
565,drone_0,drone_1
565,drone_0,drone_3
565,drone_1,drone_3
566,drone_0,drone_1
566,drone_0,drone_3
566,drone_1,drone_4
567,drone_0,drone_1
567,drone_0,drone_3
567,drone_1,drone_3
568,drone_0,drone_1
568,drone_0,drone_3
568,drone_1,drone_2
568,drone_1,drone_4
569,drone_0,drone_1
569,drone_0,drone_3
569,drone_1,drone_2
569,drone_1,drone_3
570,drone_0,drone_1
570,drone_0,drone_3
570,drone_1,drone_2
570,drone_1,drone_3
571,drone_0,drone_1
571,drone_0,drone_3
571,drone_1,drone_2
571,drone_1,drone_3
572,drone_0,drone_1
572,drone_0,drone_3
572,drone_1,drone_2
572,drone_1,drone_3
573,drone_0,drone_1
573,drone_0,drone_3
573,drone_1,drone_2
573,drone_1,drone_3
574,drone_0,drone_1
574,drone_0,drone_3
574,drone_1,drone_2
574,drone_1,drone_3
574,drone_2,drone_3
575,drone_0,drone_1
575,drone_0,drone_3
575,drone_1,drone_2
575,drone_1,drone_3
575,drone_2,drone_3
576,drone_0,drone_1
576,drone_0,drone_3
576,drone_1,drone_2
576,drone_1,drone_3
576,drone_2,drone_3
577,drone_0,drone_1
577,drone_0,drone_3
577,drone_1,drone_2
577,drone_1,drone_3
577,drone_2,drone_3
578,drone_0,drone_1
578,drone_0,drone_3
578,drone_1,drone_2
578,drone_1,drone_3
578,drone_2,drone_3
579,drone_0,drone_3
579,drone_1,drone_2
579,drone_1,drone_3
579,drone_2,drone_3
580,drone_0,drone_4
580,drone_1,drone_2
580,drone_1,drone_3
580,drone_2,drone_3
581,drone_0,drone_4
581,drone_1,drone_2
581,drone_1,drone_3
581,drone_2,drone_3
582,drone_0,drone_4
582,drone_1,drone_2
582,drone_1,drone_3
582,drone_2,drone_3
583,drone_0,drone_4
583,drone_1,drone_2
583,drone_1,drone_3
583,drone_2,drone_3
584,drone_0,drone_4
584,drone_1,drone_2
584,drone_1,drone_3
584,drone_2,drone_3
585,drone_0,drone_4
585,drone_1,drone_2
585,drone_1,drone_3
585,drone_2,drone_3
586,drone_0,drone_4
586,drone_1,drone_2
586,drone_1,drone_3
586,drone_2,drone_3
587,drone_0,drone_4
587,drone_1,drone_2
587,drone_1,drone_3
587,drone_2,drone_3
588,drone_0,drone_4
588,drone_1,drone_2
588,drone_1,drone_3
588,drone_2,drone_3
589,drone_0,drone_4
589,drone_1,drone_2
589,drone_1,drone_3
589,drone_2,drone_3
590,drone_0,drone_4
590,drone_1,drone_2
590,drone_1,drone_3
590,drone_2,drone_3
591,drone_0,drone_4
591,drone_1,drone_2
591,drone_1,drone_3
591,drone_2,drone_3
592,drone_0,drone_4
592,drone_1,drone_2
592,drone_1,drone_3
592,drone_2,drone_3
593,drone_0,drone_4
593,drone_1,drone_2
593,drone_1,drone_3
593,drone_2,drone_3
594,drone_0,drone_4
594,drone_1,drone_2
594,drone_1,drone_3
594,drone_2,drone_3
595,drone_0,drone_4
595,drone_1,drone_2
595,drone_1,drone_3
595,drone_2,drone_3
596,drone_0,drone_4
596,drone_1,drone_2
596,drone_1,drone_3
596,drone_2,drone_3
597,drone_0,drone_4
597,drone_1,drone_2
597,drone_1,drone_3
597,drone_2,drone_3
598,drone_0,drone_4
598,drone_1,drone_2
598,drone_2,drone_3
599,drone_0,drone_4
599,drone_1,drone_2
599,drone_2,drone_3
600,drone_0,drone_4
600,drone_1,drone_2
600,drone_2,drone_3
601,drone_0,drone_4
601,drone_1,drone_2
601,drone_2,drone_3
602,drone_0,drone_4
602,drone_1,drone_2
602,drone_2,drone_3
603,drone_0,drone_4
603,drone_1,drone_2
603,drone_2,drone_3
604,drone_0,drone_4
604,drone_1,drone_2
604,drone_2,drone_3
605,drone_0,drone_4
605,drone_1,drone_2
605,drone_2,drone_3
606,drone_0,drone_4
606,drone_1,drone_2
606,drone_2,drone_3
607,drone_0,drone_4
607,drone_1,drone_2
607,drone_2,drone_3
608,drone_0,drone_4
608,drone_1,drone_2
608,drone_2,drone_3
609,drone_0,drone_4
609,drone_2,drone_3
610,drone_0,drone_4
610,drone_2,drone_3
611,drone_0,drone_4
611,drone_2,drone_3
612,drone_0,drone_4
612,drone_2,drone_3
613,drone_0,drone_4
613,drone_2,drone_3
614,drone_0,drone_4
614,drone_2,drone_3
615,drone_0,drone_4
615,drone_2,drone_3
616,drone_0,drone_4
616,drone_2,drone_3
617,drone_0,drone_4
617,drone_2,drone_3
618,drone_0,drone_4
618,drone_2,drone_3
619,drone_0,drone_4
619,drone_2,drone_3
620,drone_0,drone_4
620,drone_2,drone_3
621,drone_0,drone_4
621,drone_2,drone_3
622,drone_0,drone_4
622,drone_2,drone_3
623,drone_0,drone_4
623,drone_2,drone_3
624,drone_0,drone_4
624,drone_2,drone_3
625,drone_0,drone_4
625,drone_2,drone_3
626,drone_0,drone_4
626,drone_2,drone_3
627,drone_0,drone_4
627,drone_1,drone_2
627,drone_2,drone_3
628,drone_0,drone_4
628,drone_1,drone_2
628,drone_2,drone_3
629,drone_0,drone_4
629,drone_1,drone_2
629,drone_2,drone_3
630,drone_0,drone_4
630,drone_1,drone_2
630,drone_2,drone_3
631,drone_0,drone_4
631,drone_1,drone_2
631,drone_2,drone_3
632,drone_0,drone_4
632,drone_1,drone_2
632,drone_2,drone_3
633,drone_0,drone_4
633,drone_2,drone_3
634,drone_0,drone_4
634,drone_2,drone_3
635,drone_0,drone_4
635,drone_2,drone_3
636,drone_0,drone_4
636,drone_2,drone_3
637,drone_0,drone_4
637,drone_2,drone_3
638,drone_0,drone_4
638,drone_2,drone_3
639,drone_0,drone_4
639,drone_2,drone_3
640,drone_0,drone_4
640,drone_2,drone_3
641,drone_0,drone_4
641,drone_2,drone_3
642,drone_0,drone_4
642,drone_2,drone_3
643,drone_0,drone_4
643,drone_2,drone_3
644,drone_0,drone_4
644,drone_2,drone_3
645,drone_0,drone_4
645,drone_2,drone_3
646,drone_0,drone_4
