scenario,presence_weight,n,probability_coverage_ratio_mean,probability_coverage_ratio_std,coverage_ratio_mean,coverage_ratio_std,efficiency_ratio_mean,efficiency_ratio_std,coverage_gini_mean,coverage_gini_std,cluster_ratio_mean,cluster_ratio_std,mean_pair_distance_cells_mean,mean_pair_distance_cells_std
sarenv_s1_5d_100k,0.0,10,0.2972283513777825,0.010378648307140869,0.03215248080194969,0.0016870332471989908,0.5958568840549897,0.027487531162460898,0.3731935277573139,0.02158229782873389,0.005222231000498647,0.0027662689276813294,61.06640786496424,3.5877096032522533
sarenv_s1_5d_100k,0.01,10,0.32620471808419327,0.0033266212834206768,0.034688232859704786,0.0004965824347944547,0.6249571743748819,0.00843030383390863,0.34191776983840605,0.00237692928798764,9.958506224066389e-05,0.00031491561761012903,60.81984104558774,0.5604452765393089
maigmo_5d_250k,0.0,10,0.9248325368526377,0.030608674056829446,0.4628405949716994,0.02226065204347194,0.45364542406008945,0.02387951195691224,0.506702218701407,0.025846684337866938,3.765017351392374e-05,8.147136709157938e-05,84.43503172813726,4.864450377835952
maigmo_5d_250k,0.01,10,0.9255442832348016,0.04284815790945424,0.48501820894212627,0.02662553524773774,0.4331269219532513,0.03302218730622183,0.45780368680862493,0.01665988791066712,0.00034106828521385794,0.0007880615645655559,83.6566878352486,3.359735703881707
