n_agents,num_drones,num_dogs,max_hops,kill_fraction,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,3,2,1.0,0.4,100000,0.2591593172743627,0.5462929739531015,0.3065453478133255,52.0,12.597321541733736,477.3012680431598,0.12090393155813217,0.00032562545431451294,8.0,0.6934546521866745,1931.6078116639915,2.6,Swarm_3D2P,42
5,5,0,,0.4,100000,,,,66.0,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,Pizza,42
5,5,0,,0.4,100000,,,,29.5,8.01630564076347,360.0000000000001,0.07478642301169185,0.0019211821724504927,,,,4.3,Greedy,42
5,3,2,1.0,0.4,100000,0.2760300118467816,0.6244278850056113,0.2810285714285714,59.5,13.283284149828615,472.10730810658663,0.13092944025993347,0.002561635283119987,4.0,0.7189714285714286,1750.9170147852617,2.7,Swarm_3D2P,123
5,5,0,,0.4,100000,,,,62.0,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,Pizza,123
5,5,0,,0.4,100000,,,,31.5,8.63903459049329,359.99999999999926,0.07801055813533063,0.0020193677711133444,,,,4.4,Greedy,123
5,3,2,1.0,0.4,100000,0.27572287306392873,0.6188435411851377,0.31224690817554995,54.0,13.230149344301013,491.5993044647184,0.1305394172668457,0.0023304545453618143,4.0,0.68775309182445,2097.1280688319293,3.0,Swarm_3D2P,456
5,5,0,,0.4,100000,,,,64.5,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,Pizza,456
5,5,0,,0.4,100000,,,,47.0,10.295001197190508,360.00000000000017,0.10686426979897931,0.0019451523748706416,,,,4.4,Greedy,456
5,3,2,1.0,0.6,100000,0.24415339388355053,0.5178182831817599,0.3044809699393788,48.0,11.846613582023332,457.87292416356746,0.11388149112462997,0.00032562545431451294,8.0,0.6955190300606212,2019.748809277283,2.6,Swarm_3D2P,42
5,5,0,,0.6,100000,,,,52.5,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,Pizza,42
5,5,0,,0.6,100000,,,,21.5,6.286499200207579,290.0,0.05627635782708445,0.0017554408009183933,,,,4.5,Greedy,42
5,3,2,1.0,0.6,100000,0.26563117019876265,0.6137242759185809,0.26341404063754714,59.0,12.97817108624883,457.4480137046239,0.12999045848846436,0.002561635283119987,4.0,0.7365859593624529,1973.4279443677253,2.7,Swarm_3D2P,123
5,5,0,,0.6,100000,,,,47.0,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,Pizza,123
5,5,0,,0.6,100000,,,,31.0,7.244544767930033,290.0000000000005,0.06927541169399247,0.002033279160790613,,,,4.4,Greedy,123
5,3,2,1.0,0.6,100000,0.27548154973454436,0.6183486716661063,0.2779598642976252,54.0,13.221556403487389,472.93878515254465,0.13042356073856354,0.0023304545453618143,4.0,0.7220401357023748,2139.8583693000564,2.9,Swarm_3D2P,456
5,5,0,,0.6,100000,,,,52.0,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,Pizza,456
5,5,0,,0.6,100000,,,,31.5,8.840480692615516,290.0000000000008,0.08993184247829676,0.0019962526877670443,,,,4.4,Greedy,456
