scenario,presence_weight,presence_evaporation,num_drones,num_dogs,budget,seed,probability_coverage_ratio,coverage_ratio,efficiency_ratio,coverage_gini,cluster_ratio,mean_pair_distance_cells,overlap_ratio,effective_cells,redundant_visits,info_propagation_latency,elapsed_s,total_cells,explored_cells,overlap_cells,probability_covered,probability_total,per_agent_explored,total_timesteps,paths_lengths_m,budget_consumed_m,time_to_first_victim
sarenv_s1_5d_100k,0.0,0.05,5,0,100000.0,42,0.303457128048251,0.03311261323400929,0.6178994336708427,0.36745890261579106,0.008961141950832672,63.85618556701031,0.3821005663291574,14402,8906,1122.4566332218506,13.188475700007984,434940,14402,8906,0.303457128048251,1.0,"{'drone_0': 4636, 'drone_1': 4824, 'drone_2': 4882, 'drone_3': 4291, 'drone_4': 4675}",2573,"{'drone_0': 99975.51258454012, 'drone_1': 99999.07994944042, 'drone_2': 99975.30572191387, 'drone_3': 99999.63496601704, 'drone_4': 99984.89958160123}","{'drone_0': np.float64(99975.51258452433), 'drone_1': np.float64(99999.07994945771), 'drone_2': np.float64(99975.30572190322), 'drone_3': np.float64(99999.63496602004), 'drone_4': np.float64(99984.8995815931)}",
sarenv_s1_5d_100k,0.01,0.05,5,0,100000.0,42,0.32515274806735306,0.03453119970570653,0.6222912782266418,0.3426694208771264,0.0,60.64261268781302,0.3777087217733582,15019,9116,1275.3597990890373,13.20176269998774,434940,15019,9116,0.32515274806735306,1.0,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",
sarenv_s1_5d_100k,0.02,0.05,5,0,100000.0,42,0.3204111486870147,0.03293787648871108,0.5870830259814769,0.3454813552417393,0.025504439063761097,58.152865213882166,0.41291697401852306,14326,10076,1263.245982307933,14.485749900020892,434940,14326,10076,0.3204111486870147,1.0,"{'drone_0': 5006, 'drone_1': 4513, 'drone_2': 5104, 'drone_3': 4522, 'drone_4': 5257}",2597,"{'drone_0': 99987.4371138181, 'drone_1': 99963.77379928257, 'drone_2': 99974.97874048557, 'drone_3': 99972.84679853631, 'drone_4': 99958.78558651805}","{'drone_0': np.float64(99987.43711380848), 'drone_1': np.float64(99963.77379927321), 'drone_2': np.float64(99974.97874047671), 'drone_3': np.float64(99972.84679853046), 'drone_4': np.float64(99958.78558652423)}",
sarenv_s1_5d_100k,0.05,0.05,5,0,100000.0,42,0.2937195370128052,0.03506000827700372,0.6616192294342242,0.3796974318261914,0.0007252215954875101,61.546535052377116,0.33838077056577576,15249,7799,1257.438551980198,14.900082100008149,434940,15249,7799,0.2937195370128052,1.0,"{'drone_0': 4762, 'drone_1': 4409, 'drone_2': 4487, 'drone_3': 5065, 'drone_4': 4325}",2644,"{'drone_0': 99976.01310750692, 'drone_1': 99987.87949329277, 'drone_2': 99977.18008547461, 'drone_3': 99971.15009793121, 'drone_4': 99965.56991762981}","{'drone_0': np.float64(99976.01310751608), 'drone_1': np.float64(99987.87949327768), 'drone_2': np.float64(99977.18008548817), 'drone_3': np.float64(99971.150097931), 'drone_4': np.float64(99965.56991762322)}",
sarenv_s1_5d_100k,0.1,0.05,5,0,100000.0,42,0.2990417746108278,0.03199291856348002,0.5870317246034424,0.3903412350822577,0.013402061855670102,56.15107057890563,0.41296827539655756,13915,9789,1144.8760696458285,15.04706989999977,434940,13915,9789,0.2990417746108278,1.0,"{'drone_0': 4630, 'drone_1': 4657, 'drone_2': 4708, 'drone_3': 4595, 'drone_4': 5114}",2609,"{'drone_0': 99959.45719980993, 'drone_1': 99963.27285874939, 'drone_2': 99985.55802945956, 'drone_3': 99958.22357974252, 'drone_4': 99994.001053274}","{'drone_0': np.float64(99959.45719980735), 'drone_1': np.float64(99963.27285874568), 'drone_2': np.float64(99985.5580294666), 'drone_3': np.float64(99958.22357973093), 'drone_4': np.float64(99994.00105327093)}",
sarenv_s1_5d_100k,0.2,0.05,5,0,100000.0,42,0.3138068064541244,0.0333126408240217,0.5746638638797446,0.3500821250702906,0.0005840634125990822,57.599123904881104,0.42533613612025545,14489,10724,1127.143212161269,14.990162999980384,434940,14489,10724,0.3138068064541244,1.0,"{'drone_0': 5483, 'drone_1': 5318, 'drone_2': 4773, 'drone_3': 4835, 'drone_4': 4804}",2569,"{'drone_0': 99974.75524429561, 'drone_1': 99970.70664765789, 'drone_2': 99985.14000100113, 'drone_3': 99961.58035352272, 'drone_4': 99995.5864233096}","{'drone_0': np.float64(99974.75524429358), 'drone_1': np.float64(99970.70664765743), 'drone_2': np.float64(99985.14000100212), 'drone_3': np.float64(99961.58035351125), 'drone_4': np.float64(99995.58642331453)}",
