n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed,N,Budget_per_agent_km
3,2,1,1.0,166666.66666666666,0.06447355817839316,0.25362059010703075,0.20137103684661525,24.0,12.155814241597207,462.4236442941577,0.13007327914237976,0.0036855302667439574,12.0,0.7986289631533847,2523.9230721738595,62.7,Swarm_3,42,3,166.66666666666666
3,3,0,,166666.66666666666,,,,26.0,16.504863569927412,500.0,0.15480700516483045,0.002115068396887972,,,,36.0,Greedy,42,3,166.66666666666666
3,3,0,,166666.66666666666,,,,28.499999999999996,33.1442925458231,500.0,0.13696027588728646,0.00046408528961049676,,,,2.2,Spiral,42,3,166.66666666666666
3,3,0,,166666.66666666666,,,,35.5,32.79105922769445,500.00000000000074,0.20589104081764592,0.0008938950715744824,,,,1.2,Pizza,42,3,166.66666666666666
3,2,1,1.0,166666.66666666666,0.07382318195847214,0.263050868176733,0.2636802717477841,26.0,13.205535391266945,475.069586127182,0.12668214738368988,0.004297599274280986,13.0,0.7363197282522159,2117.0490549277006,53.2,Swarm_3,123,3,166.66666666666666
3,3,0,,166666.66666666666,,,,20.5,13.644666029334823,499.9999999999992,0.10111096349335447,0.0017042624765089883,,,,30.7,Greedy,123,3,166.66666666666666
3,3,0,,166666.66666666666,,,,27.0,33.1442925458231,500.0,0.13696027588728646,0.00046408528961049676,,,,0.8,Spiral,123,3,166.66666666666666
3,3,0,,166666.66666666666,,,,46.5,32.79105922769445,500.00000000000074,0.20589104081764592,0.0008938950715744824,,,,1.5,Pizza,123,3,166.66666666666666
3,2,1,1.0,166666.66666666666,0.0705771543512734,0.270073232691308,0.20107222456478524,26.5,12.568372673947199,462.6830536825925,0.13179171085357666,0.0036979717567727833,18.0,0.7989277754352148,2534.912309522461,61.5,Swarm_3,456,3,166.66666666666666
3,3,0,,166666.66666666666,,,,28.000000000000004,16.874544967162183,499.9999999999997,0.14857612198452488,0.001759359125923493,,,,4.1,Greedy,456,3,166.66666666666666
3,3,0,,166666.66666666666,,,,28.499999999999996,33.1442925458231,500.0,0.13696027588728646,0.00046408528961049676,,,,0.9,Spiral,456,3,166.66666666666666
3,3,0,,166666.66666666666,,,,43.5,32.79105922769445,500.00000000000074,0.20589104081764592,0.0008938950715744824,,,,0.3,Pizza,456,3,166.66666666666666
5,3,2,1.0,100000.0,0.06992794882983365,0.2553775545041673,0.29685911498742573,26.5,14.284939635320134,474.7802409888445,0.13138188421726227,0.0019514442087089586,13.0,0.7031408850125742,1407.7973883544773,7.8,Swarm_5,42,5,100.0
5,5,0,,100000.0,,,,28.499999999999996,17.77028099849132,500.00000000000006,0.16027896300429464,0.0020033283293997154,,,,4.1,Greedy,42,5,100.0
5,5,0,,100000.0,,,,30.5,33.151101460832784,499.9999999999998,0.13513656921665185,0.0004627592819281773,,,,0.9,Spiral,42,5,100.0
5,5,0,,100000.0,,,,35.5,32.55850596222095,499.9999999999994,0.20434714324239675,0.0013149308163302683,,,,1.0,Pizza,42,5,100.0
5,3,2,1.0,100000.0,0.06427134662253488,0.248261401980043,0.3261548761437179,25.0,12.4800286075257,464.7456819899329,0.12528902292251587,0.0014194811780704742,24.0,0.673845123856282,1252.6306802011195,70.4,Swarm_5,123,5,100.0
5,5,0,,100000.0,,,,33.5,17.561815460038062,499.99999999999983,0.15484283123862325,0.0014404587241236622,,,,31.0,Greedy,123,5,100.0
5,5,0,,100000.0,,,,25.0,33.151101460832784,499.9999999999998,0.13513656921665185,0.0004627592819281773,,,,1.0,Spiral,123,5,100.0
