n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Comm_range,Evaporation_rate,Alert_evaporation_rate,Ever_explored_penalty,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Algorithm,Seed
5,5,0,1.0,100000,0.31479531393971305,0.6114517995907205,0.30838193473755243,52.0,12.408668212191206,499.90948434737913,0.12289602309465408,0.00033343315970385756,8.0,0.6916180652624476,1574.5278056440006,3.7,500.0,0.02,0.01,0.0,0.15363495801775917,1098.3091455347835,5491.545727673918,evap_0.0200,42
5,5,0,1.0,100000,0.31863454872537406,0.6024958854453952,0.28241106719367587,51.0,12.592718439982049,499.92625721578605,0.12116097658872604,0.0025773533747899613,4.0,0.7175889328063241,1438.969704494661,3.1,500.0,0.02,0.01,0.0,0.15990716056156695,1037.926378595829,5189.631892979145,evap_0.0200,123
5,5,0,1.0,100000,0.33693124478960995,0.6803880299367929,0.3151088119871566,57.49999999999999,13.326143801188849,499.8944024733703,0.13681159913539886,0.002328717198845881,4.0,0.6848911880128434,1536.7760113938182,2.9,500.0,0.02,0.01,0.0,0.11397066829959579,1239.7390929415822,6198.695464707911,evap_0.0200,456
5,5,0,1.0,100000,0.32730025009872316,0.6086336761867538,0.3434694596021827,53.5,12.962545566987664,499.89473873765394,0.12262376397848129,0.0003237572987024628,8.0,0.6565305403978173,1490.3419136064122,3.0,500.0,0.01,0.005,0.0,0.13325941079173598,1176.0302235879003,5880.151117939502,evap_0.0100,42
5,5,0,1.0,100000,0.34070466412180245,0.6731145388092106,0.3253399365741344,57.49999999999999,13.47651909355758,499.91915360222515,0.13513131439685822,0.0025598725433957905,4.0,0.6746600634258656,1478.4542760221389,2.9,500.0,0.01,0.005,0.0,0.03678741775290839,1254.5135862637312,6272.567931318656,evap_0.0100,123
5,5,0,1.0,100000,0.36858847790794613,0.706426432497788,0.2820699085548244,64.5,14.616898253956903,499.8677656836753,0.14176560938358307,0.0023291371815046574,4.0,0.7179300914451756,1532.602324425584,3.0,500.0,0.01,0.005,0.0,0.09391944896018223,1223.9210270375013,6119.605135187507,evap_0.0100,456
5,5,0,1.0,100000,0.3732394366197183,0.7010621857616511,0.2999629675348722,59.5,14.842997288679708,499.87496366234683,0.14099036157131195,0.00032937102887791044,8.0,0.7000370324651277,1497.348348240046,2.9,500.0,0.005,0.0025,0.0,0.09085543362508419,1282.6985845567658,6413.492922783829,evap_0.0050,42
5,5,0,1.0,100000,0.31837128691150013,0.6341429266544033,0.4298958947161658,54.50000000000001,12.644179807563978,499.9105832446932,0.1278935968875885,0.002546654360171144,4.0,0.5701041052838343,1249.143899093312,2.9,500.0,0.005,0.0025,0.0,0.020627456265433164,1453.7718872789294,7268.859436394647,evap_0.0050,123
5,5,0,1.0,100000,0.3516739063665482,0.675863347440902,0.2954155861280823,61.0,13.950155354801227,499.905851008918,0.1361560821533203,0.002328170951989994,4.0,0.7045844138719177,1453.7059437331943,2.9,500.0,0.005,0.0025,0.0,0.1328940251030699,1149.1676327958703,5745.8381639793515,evap_0.0050,456
5,5,0,1.0,100000,0.3343863805888289,0.613174779520413,0.3649960421613965,53.5,13.231155678696293,499.9124757912649,0.12351669371128082,0.0003290513704532934,8.0,0.6350039578386035,1583.3690955148263,2.9,500.0,0.002,0.001,0.0,0.11445821170671633,1242.0213981203735,6210.106990601867,evap_0.0020,42
5,5,0,1.0,100000,0.3596595147207231,0.7128330821486609,0.3144601488667726,65.5,14.302804316839492,499.84975609689275,0.14342591166496277,0.0025619279437479655,4.0,0.6855398511332274,1518.9082344993244,3.0,500.0,0.002,0.001,0.0,0.11316261605659972,1322.2518827877939,6611.259413938969,evap_0.0020,123
