Seed,Algorithm,Total_prob_swept,Mean_prob_swept,Agent_prob_gini,Coverage_ratio,Prob_covered_ratio
42,Swarm_3D2P,5263.799155838788,1052.7598311677575,0.1226666283555009,0.27074283708481417,0.5440356684898575
123,Swarm_3D2P,5908.652528947219,1181.730505789444,0.1313176451925866,0.2925716291518582,0.6464038373614095
456,Swarm_3D2P,5916.161167180166,1183.232233436033,0.12851470431667478,0.31042955552630425,0.6638340185742139
