total_cells,explored_cells,coverage_ratio,overlap_cells,overlap_ratio,probability_covered,probability_total,probability_coverage_ratio,per_agent_explored,total_timesteps,paths_lengths_m,budget_consumed_m,effective_cells,redundant_visits,efficiency_ratio,time_to_first_victim,info_propagation_latency,coverage_gini,cluster_ratio,mean_pair_distance_cells,scenario,presence_weight,seed,do_kill,kill_tick,recovery_zone_size,recovery_time,recovery_coverage_at_end,elapsed_s
434940,12606,0.02898330804248862,7549,0.37454725874472833,0.2786814243756339,1.0,0.2786814243756339,"{'drone_0': 4362, 'drone_1': 5194, 'drone_2': 1507, 'drone_3': 4587, 'drone_4': 4505}",2612,"{'drone_0': 99961.0588398077, 'drone_1': 99996.38538135734, 'drone_2': 36554.09331436874, 'drone_3': 99981.64647486444, 'drone_4': 99958.1815243612}","{'drone_0': np.float64(99961.05883980497), 'drone_1': np.float64(99996.38538136348), 'drone_2': np.float64(36554.09331436633), 'drone_3': np.float64(99981.64647485707), 'drone_4': np.float64(99958.18152435945)}",12606,7549,0.6254527412552716,,1226.2953261248692,0.3772811053257641,0.004395604395604396,78.24215784215784,sarenv_s1_5d_100k,0.0,7,True,1000,5,1,1.0,14.283158100006403
434940,13272,0.03051455373154918,7574,0.3633310946944258,0.2884187228843871,1.0,0.2884187228843871,"{'drone_0': 4757, 'drone_1': 5010, 'drone_2': 1394, 'drone_3': 4679, 'drone_4': 5006}",2610,"{'drone_0': 99989.40719126945, 'drone_1': 99996.1451437515, 'drone_2': 36417.230708747986, 'drone_3': 99959.44056625568, 'drone_4': 99996.53410046246}","{'drone_0': np.float64(99989.4071912615), 'drone_1': np.float64(99996.14514375759), 'drone_2': np.float64(36417.23070874808), 'drone_3': np.float64(99959.44056624558), 'drone_4': np.float64(99996.53410046162)}",13272,7574,0.6366689053055742,,1327.4654598174052,0.3515923307795821,0.0,74.17312687312688,sarenv_s1_5d_100k,0.01,7,True,1000,5,nan,0.0,13.539168099989183
434940,13340,0.030670897135237043,9972,0.4277625257378174,0.3005774755701509,1.0,0.3005774755701509,"{'drone_0': 5461, 'drone_1': 4182, 'drone_2': 4029, 'drone_3': 4386, 'drone_4': 5254}",2631,"{'drone_0': 99961.00510738221, 'drone_1': 99970.60352602295, 'drone_2': 99974.7427521666, 'drone_3': 99968.00808602244, 'drone_4': 99996.38538136368}","{'drone_0': np.float64(99961.00510736248), 'drone_1': np.float64(99970.6035260223), 'drone_2': np.float64(99974.7427521661), 'drone_3': np.float64(99968.00808601844), 'drone_4': np.float64(99996.38538136374)}",13340,9972,0.5722374742621825,,1241.9941433997274,0.3672972500152276,0.005585660691954981,56.305043768236764,sarenv_s1_5d_100k,0.0,100,False,-1,0,nan,nan,14.756882099987706
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,100,False,-1,0,nan,nan,14.104810099990573
434940,13272,0.03051455373154918,6782,0.3381868953824673,0.2862012846152311,1.0,0.2862012846152311,"{'drone_0': 5261, 'drone_1': 4673, 'drone_2': 1183, 'drone_3': 4519, 'drone_4': 4418}",2618,"{'drone_0': 99996.59266152409, 'drone_1': 99970.33002130373, 'drone_2': 35433.04611624181, 'drone_3': 99996.41051351638, 'drone_4': 99970.23467102864}","{'drone_0': np.float64(99996.59266151953), 'drone_1': np.float64(99970.33002129446), 'drone_2': np.float64(35433.04611624044), 'drone_3': np.float64(99996.41051350976), 'drone_4': np.float64(99970.2346710318)}",13272,6782,0.6618131046175326,,1341.8231023985547,0.371994466726578,0.011588411588411588,73.15744255744255,sarenv_s1_5d_100k,0.0,100,True,1000,5,809,1.0,14.060243199986871
434940,13272,0.03051455373154918,7574,0.3633310946944258,0.2884187228843871,1.0,0.2884187228843871,"{'drone_0': 4757, 'drone_1': 5010, 'drone_2': 1394, 'drone_3': 4679, 'drone_4': 5006}",2610,"{'drone_0': 99989.40719126945, 'drone_1': 99996.1451437515, 'drone_2': 36417.230708747986, 'drone_3': 99959.44056625568, 'drone_4': 99996.53410046246}","{'drone_0': np.float64(99989.4071912615), 'drone_1': np.float64(99996.14514375759), 'drone_2': np.float64(36417.23070874808), 'drone_3': np.float64(99959.44056624558), 'drone_4': np.float64(99996.53410046162)}",13272,7574,0.6366689053055742,,1327.4654598174052,0.3515923307795821,0.0,74.17312687312688,sarenv_s1_5d_100k,0.01,100,True,1000,5,nan,0.0,13.937085100013064
434940,14000,0.03218834781808985,9639,0.4077583654130885,0.29267688317156626,1.0,0.29267688317156626,"{'drone_0': 4388, 'drone_1': 5024, 'drone_2': 4626, 'drone_3': 4252, 'drone_4': 5349}",2661,"{'drone_0': 99982.1516646857, 'drone_1': 99988.38844090002, 'drone_2': 99994.72596145113, 'drone_3': 99973.72024400168, 'drone_4': 99995.26374511838}","{'drone_0': np.float64(99982.15166467533), 'drone_1': np.float64(99988.38844091282), 'drone_2': np.float64(99994.72596144943), 'drone_3': np.float64(99973.72024400198), 'drone_4': np.float64(99995.26374510955)}",14000,9639,0.5922416345869115,,1187.042316389158,0.37509733404209156,0.0034663442160419184,60.15034260378879,sarenv_s1_5d_100k,0.0,999,False,-1,0,nan,nan,14.802894299995387
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,999,False,-1,0,nan,nan,14.224607600015588
434940,13241,0.030443279532809123,6794,0.33910656351385077,0.2790136942921322,1.0,0.2790136942921322,"{'drone_0': 5073, 'drone_1': 4433, 'drone_2': 1424, 'drone_3': 4775, 'drone_4': 4330}",2613,"{'drone_0': 99984.01841869087, 'drone_1': 99961.73702577924, 'drone_2': 36417.41280283338, 'drone_3': 99969.0639152467, 'drone_4': 99959.05478803447}","{'drone_0': np.float64(99984.01841867763), 'drone_1': np.float64(99961.73702578539), 'drone_2': np.float64(36417.412802830106), 'drone_3': np.float64(99969.06391523535), 'drone_4': np.float64(99959.05478802939)}",13241,6794,0.6608934364861493,,1322.462093585659,0.3601872108700108,0.008391608391608392,76.80689310689311,sarenv_s1_5d_100k,0.0,999,True,1000,5,1290,1.0,14.104076300020097
434940,13272,0.03051455373154918,7574,0.3633310946944258,0.2884187228843871,1.0,0.2884187228843871,"{'drone_0': 4757, 'drone_1': 5010, 'drone_2': 1394, 'drone_3': 4679, 'drone_4': 5006}",2610,"{'drone_0': 99989.40719126945, 'drone_1': 99996.1451437515, 'drone_2': 36417.230708747986, 'drone_3': 99959.44056625568, 'drone_4': 99996.53410046246}","{'drone_0': np.float64(99989.4071912615), 'drone_1': np.float64(99996.14514375759), 'drone_2': np.float64(36417.23070874808), 'drone_3': np.float64(99959.44056624558), 'drone_4': np.float64(99996.53410046162)}",13272,7574,0.6366689053055742,,1327.4654598174052,0.3515923307795821,0.0,74.17312687312688,sarenv_s1_5d_100k,0.01,999,True,1000,5,nan,0.0,13.684466699982295
