tick,agent_id,row,col,active,budget
26,dog_1,651,274,1,446326.6
26,dog_2,325,445,1,446299.6
26,dog_3,316,814,1,446130.7
27,drone_0,619,1017,1,445854.3
27,drone_1,980,824,1,445841.9
27,dog_0,956,446,1,445395.7
27,dog_1,650,274,1,446311.6
27,dog_2,326,444,1,446278.4
27,dog_3,317,813,1,446088.2
28,drone_0,618,1016,1,445811.9
28,drone_1,979,825,1,445799.4
28,dog_0,955,447,1,445332.1
28,dog_1,649,274,1,446296.6
28,dog_2,327,443,1,446257.1
28,dog_3,317,812,1,446064.2
29,drone_0,617,1015,1,445769.4
29,drone_1,978,824,1,445757.0
29,dog_0,954,448,1,445268.4
29,dog_1,648,274,1,446281.5
29,dog_2,328,442,1,446214.7
29,dog_3,318,811,1,446021.7
30,drone_0,618,1014,1,445727.0
30,drone_1,977,823,1,445714.5
30,dog_0,953,449,1,445204.7
30,dog_1,647,273,1,446260.3
30,dog_2,329,441,1,446193.5
30,dog_3,318,810,1,445997.7
31,drone_0,617,1013,1,445684.5
31,drone_1,976,822,1,445672.1
31,dog_0,952,450,1,445141.1
31,dog_1,648,273,1,446245.3
31,dog_2,330,441,1,446163.5
31,dog_3,319,809,1,445955.3
32,drone_0,616,1012,1,445642.1
32,drone_1,976,821,1,445642.1
32,dog_0,951,451,1,445077.4
32,dog_1,647,272,1,446202.9
32,dog_2,331,440,1,446121.0
32,dog_3,319,808,1,445925.3
33,drone_0,615,1013,1,445599.6
33,drone_1,977,820,1,445599.6
33,dog_0,950,452,1,445013.7
33,dog_1,646,272,1,446166.8
33,dog_2,332,439,1,446099.8
33,dog_3,320,807,1,445882.8
34,drone_0,614,1014,1,445557.2
34,drone_1,978,819,1,445557.2
34,dog_0,949,453,1,444950.0
34,dog_1,645,272,1,446151.8
34,dog_2,333,439,1,446069.8
34,dog_3,320,806,1,445852.8
35,drone_0,613,1013,1,445514.7
35,drone_1,977,818,1,445514.7
35,dog_0,948,452,1,444886.4
35,dog_1,644,272,1,446115.8
35,dog_2,334,438,1,446027.3
35,dog_3,320,805,1,445822.8
36,drone_0,612,1012,1,445472.3
36,drone_1,976,817,1,445472.3
36,dog_0,948,451,1,444841.3
36,dog_1,643,271,1,446094.6
36,dog_2,335,437,1,445984.9
36,dog_3,321,804,1,445780.3
37,drone_0,613,1011,1,445429.8
37,drone_1,977,816,1,445429.8
37,dog_0,948,450,1,444796.3
37,dog_1,642,271,1,446064.6
37,dog_2,336,438,1,445942.4
37,dog_3,321,803,1,445750.3
38,drone_0,612,1010,1,445387.4
38,drone_1,976,815,1,445387.4
38,dog_0,947,449,1,444732.6
38,dog_1,641,271,1,446034.6
38,dog_2,337,439,1,445921.2
38,dog_3,321,802,1,445714.3
39,drone_0,613,1009,1,445344.9
39,drone_1,975,814,1,445344.9
39,dog_0,946,450,1,444669.0
39,dog_1,640,271,1,446019.6
39,dog_2,338,440,1,445900.0
39,dog_3,321,801,1,445684.3
40,drone_0,614,1008,1,445302.5
40,drone_1,976,813,1,445302.5
40,dog_0,945,451,1,444605.3
40,dog_1,639,270,1,445998.3
40,dog_2,339,440,1,445870.0
40,dog_3,321,800,1,445660.3
41,drone_0,614,1007,1,445272.5
41,drone_1,975,812,1,445260.0
41,dog_0,944,452,1,444528.9
41,dog_1,640,270,1,445983.3
41,dog_2,340,440,1,445855.0
41,dog_3,321,799,1,445630.3
42,drone_0,615,1006,1,445230.0
42,drone_1,976,811,1,445217.6
42,dog_0,944,453,1,444474.9
42,dog_1,639,269,1,445962.1
42,dog_2,341,440,1,445824.9
42,dog_3,322,798,1,445587.8
43,drone_0,616,1005,1,445187.6
43,drone_1,975,810,1,445175.2
43,dog_0,945,454,1,444398.5
43,dog_1,638,269,1,445947.1
43,dog_2,342,439,1,445803.7
43,dog_3,322,797,1,445557.8
44,drone_0,615,1004,1,445145.1
44,drone_1,974,809,1,445132.7
44,dog_0,945,455,1,444344.4
44,dog_1,637,269,1,445917.1
44,dog_2,343,439,1,445788.7
44,dog_3,322,796,1,445527.8
45,drone_0,616,1003,1,445102.7
45,drone_1,973,808,1,445090.3
45,dog_0,945,456,1,444290.4
45,dog_1,636,268,1,445895.9
45,dog_2,344,439,1,445773.7
45,dog_3,322,795,1,445503.8
46,drone_0,615,1002,1,445060.2
46,drone_1,974,807,1,445047.8
46,dog_0,945,457,1,444236.4
46,dog_1,635,269,1,445853.4
46,dog_2,345,440,1,445731.2
46,dog_3,322,794,1,445479.8
47,drone_0,616,1001,1,445017.8
47,drone_1,975,806,1,445005.4
47,dog_0,945,458,1,444182.3
47,dog_1,634,269,1,445838.4
47,dog_2,345,439,1,445716.2
47,dog_3,322,793,1,445449.7
48,drone_0,617,1000,1,444975.3
48,drone_1,976,805,1,444962.9
48,dog_0,946,458,1,444128.3
48,dog_1,633,269,1,445823.4
48,dog_2,345,440,1,445686.2
48,dog_3,322,792,1,445419.7
49,drone_0,617,999,1,444945.3
49,drone_1,977,806,1,444920.5
49,dog_0,947,459,1,444051.9
49,dog_1,632,268,1,445802.2
49,dog_2,346,441,1,445643.8
49,dog_3,322,791,1,445389.7
50,drone_0,617,998,1,444915.3
50,drone_1,978,805,1,444878.0
50,dog_0,948,459,1,443997.9
50,dog_1,631,267,1,445780.9
50,dog_2,347,442,1,445601.3
50,dog_3,321,790,1,445347.3
51,drone_0,617,997,1,444885.3
51,drone_1,979,804,1,444835.6
51,dog_0,949,460,1,443921.5
51,dog_1,630,267,1,445765.9
51,dog_2,348,443,1,445558.9
51,dog_3,321,789,1,445323.2
52,drone_0,618,996,1,444842.8
52,drone_1,980,803,1,444793.1
52,dog_0,950,460,1,443867.4
