scenario,presence_weight,presence_evaporation,num_drones,num_dogs,budget,seed,probability_coverage_ratio,coverage_ratio,efficiency_ratio,coverage_gini,cluster_ratio,mean_pair_distance_cells,overlap_ratio,effective_cells,redundant_visits,info_propagation_latency,elapsed_s,total_cells,explored_cells,overlap_cells,probability_covered,probability_total,per_agent_explored,total_timesteps,paths_lengths_m,budget_consumed_m,time_to_first_victim
maigmo_5d_250k,0.0,0.05,5,0,250000.0,42,0.9347744902708803,0.47049273836163397,0.46151197572575264,0.5164760252150711,0.0,81.24007727975271,0.5384880242742474,21446,25023,3248.892400907914,11.38856609998038,45582,21446,25023,0.1905174395179472,0.20381112396717072,"{'drone_0': 8340, 'drone_1': 9861, 'drone_2': 10210, 'drone_3': 9191, 'drone_4': 8867}",6935,"{'drone_0': 249987.79146016217, 'drone_1': 249971.6534191112, 'drone_2': 249991.16424057324, 'drone_3': 249970.21393629842, 'drone_4': 249977.86092017643}","{'drone_0': np.float64(249987.79146019332), 'drone_1': np.float64(249971.65341906788), 'drone_2': np.float64(249991.1642405913), 'drone_3': np.float64(249970.21393631652), 'drone_4': np.float64(249977.86092022146)}",
maigmo_5d_250k,0.01,0.01,5,0,250000.0,42,0.8889415040158607,0.4902812513711553,0.4343296925409103,0.4654785625207223,0.0,81.60090648854961,0.5656703074590896,22348,29106,3542.682798579945,15.568715300003532,45582,22348,29106,0.18117616707453976,0.20381112396717072,"{'drone_0': 10677, 'drone_1': 11103, 'drone_2': 11041, 'drone_3': 9186, 'drone_4': 9447}",6912,"{'drone_0': 249997.3542743914, 'drone_1': 249976.68623684783, 'drone_2': 249978.07761825286, 'drone_3': 249992.48781161878, 'drone_4': 249973.6179156514}","{'drone_0': np.float64(249997.3542744056), 'drone_1': np.float64(249976.68623685854), 'drone_2': np.float64(249978.07761824544), 'drone_3': np.float64(249992.48781167154), 'drone_4': np.float64(249973.61791568887)}",
maigmo_5d_250k,0.01,0.02,5,0,250000.0,42,0.9312528479822941,0.4806502566802685,0.4248400232693426,0.45285890040925025,0.0,79.90147474113587,0.5751599767306573,21909,29661,3691.395718560838,15.307077000004938,45582,21909,29661,0.18979968964490013,0.20381112396717072,"{'drone_0': 11141, 'drone_1': 10035, 'drone_2': 10498, 'drone_3': 10431, 'drone_4': 9465}",6692,"{'drone_0': 249969.80974074214, 'drone_1': 249972.59979336042, 'drone_2': 249960.41907740996, 'drone_3': 249984.44202397697, 'drone_4': 249976.4770306609}","{'drone_0': np.float64(249969.80974077608), 'drone_1': np.float64(249972.59979339998), 'drone_2': np.float64(249960.4190774353), 'drone_3': np.float64(249984.44202401125), 'drone_4': np.float64(249976.4770306999)}",
maigmo_5d_250k,0.01,0.05,5,0,250000.0,42,0.963686409500383,0.5135579834145058,0.485492668560881,0.49546688004901074,0.0025046382189239332,83.57376314162029,0.514507331439119,23409,24808,3610.50488092004,11.58895279999706,45582,23409,24808,0.1964100102721602,0.20381112396717072,"{'drone_0': 7985, 'drone_1': 10824, 'drone_2': 10193, 'drone_3': 10412, 'drone_4': 8803}",7077,"{'drone_0': 249998.60563292945, 'drone_1': 249999.82147138915, 'drone_2': 249984.9376159996, 'drone_3': 249995.78858153522, 'drone_4': 249980.64966025445}","{'drone_0': np.float64(249998.60563298804), 'drone_1': np.float64(249999.82147142742), 'drone_2': np.float64(249984.93761600403), 'drone_3': np.float64(249995.78858156753), 'drone_4': np.float64(249980.6496602734)}",
maigmo_5d_250k,0.01,0.1,5,0,250000.0,42,0.8125990959970011,0.42591373787898734,0.37420971472629144,0.4687639183448744,0.0,82.34800433168317,0.6257902852737086,19414,32466,3252.0177454080604,12.056957599997986,45582,19414,32466,0.16561673508985564,0.20381112396717072,"{'drone_0': 9201, 'drone_1': 10602, 'drone_2': 10777, 'drone_3': 10448, 'drone_4': 10852}",6763,"{'drone_0': 249973.38500238734, 'drone_1': 249993.67026995565, 'drone_2': 249982.74991901036, 'drone_3': 249996.89705024144, 'drone_4': 249971.42858315003}","{'drone_0': np.float64(249973.3850024062), 'drone_1': np.float64(249993.67026998632), 'drone_2': np.float64(249982.74991904432), 'drone_3': np.float64(249996.89705026333), 'drone_4': np.float64(249971.42858318053)}",
