n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Comm_range,Evaporation_rate,Alert_evaporation_rate,Ever_explored_penalty,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Algorithm,Seed
5,5,0,1.0,100000,0.32730025009872316,0.6086336761867538,0.3434694596021827,53.5,12.962545566987664,499.89473873765394,0.12262376397848129,0.0003237572987024628,8.0,0.6565305403978173,1490.3419136064122,3.1,500.0,0.01,0.005,0.0,0.13325941079173598,1176.0302235879003,5880.151117939502,eep_0.00,42
5,5,0,1.0,100000,0.34070466412180245,0.6731145388092106,0.3253399365741344,57.49999999999999,13.47651909355758,499.91915360222515,0.13513131439685822,0.0025598725433957905,4.0,0.6746600634258656,1478.4542760221389,3.4,500.0,0.01,0.005,0.0,0.03678741775290839,1254.5135862637312,6272.567931318656,eep_0.00,123
5,5,0,1.0,100000,0.36858847790794613,0.706426432497788,0.2820699085548244,64.5,14.616898253956903,499.8677656836753,0.14176560938358307,0.0023291371815046574,4.0,0.7179300914451756,1532.602324425584,3.0,500.0,0.01,0.005,0.0,0.09391944896018223,1223.9210270375013,6119.605135187507,eep_0.00,456
5,5,0,1.0,100000,0.3382256153744899,0.5802695833679938,0.3941049322067204,49.5,13.473873946420238,499.898709996521,0.11630433052778244,0.00033231716761086404,8.0,0.6058950677932796,1576.113847568384,2.8,500.0,0.01,0.005,0.25,0.09122242809035952,1239.8181457281112,6199.090728640556,eep_0.25,42
5,5,0,1.0,100000,0.36560484401737525,0.671414410420387,0.3311795159930971,65.0,14.66396192543951,499.9365426995252,0.1352010816335678,0.0028489882577234105,4.0,0.668820484006903,1426.6059562398702,2.9,500.0,0.01,0.005,0.25,0.07330057968569159,1304.6388456832617,6523.194228416309,eep_0.25,123
5,5,0,1.0,100000,0.3465841779649862,0.6422764183980123,0.30267049216508496,55.00000000000001,13.902481283238355,499.89292541034763,0.12889128923416138,0.0021288076085708074,4.0,0.697329507834915,1527.207051992207,3.0,500.0,0.01,0.005,0.25,0.13823021858813989,1170.8324676826596,5854.162338413298,eep_0.25,456
5,5,0,1.0,100000,0.3598130841121495,0.6006583436490085,0.32361431870669743,52.5,14.304166573708137,499.9533985433917,0.12026993930339813,0.0003308643968894395,8.0,0.6763856812933026,1308.4654840079716,2.8,500.0,0.01,0.005,0.5,0.06019418439621971,1170.9432326164097,5854.716163082048,eep_0.50,42
5,5,0,1.0,100000,0.3749945153788776,0.6866400244232762,0.34489498696918597,60.0,14.998718290399625,499.83842149391796,0.13767647743225098,0.002848995170691758,4.0,0.655105013030814,1500.4610898661567,2.8,500.0,0.01,0.005,0.5,0.09517363249507649,1355.9664549008012,6779.832274504006,eep_0.50,123
5,5,0,1.0,100000,0.3812250449738932,0.6514983274246942,0.30380608974358975,58.5,15.275588782054731,499.91819066908823,0.13115288317203522,0.002124210135288643,4.0,0.6961939102564103,1424.606748843379,3.1,500.0,0.01,0.005,0.5,0.09128044923268908,1183.1185428724625,5915.592714362312,eep_0.50,456
5,5,0,1.0,100000,0.34298626650870956,0.584060749217617,0.34923409923409926,51.0,13.6672397300002,499.8687576552268,0.11758357286453247,0.0003304110937612249,8.0,0.6507659007659008,1429.0186071238702,2.8,500.0,0.01,0.005,0.75,0.09645688983297807,1164.6583481058478,5823.291740529239,eep_0.75,42
5,5,0,1.0,100000,0.3630819183010838,0.6256335505611037,0.381239017459902,57.99999999999999,14.497526722603169,499.9470762617478,0.12603822350502014,0.0028583923194816334,4.0,0.6187609825400979,1314.3954664727642,2.6,500.0,0.01,0.005,0.75,0.02105038424752581,1339.139932961762,6695.69966480881,eep_0.75,123
5,5,0,1.0,100000,0.3416480189548506,0.5766916911497203,0.34887318643642595,53.5,13.641662692654826,499.90301344044605,0.1161360964179039,0.002126039637843598,4.0,0.651126813563574,1429.089688919958,2.8,500.0,0.01,0.005,0.75,0.10284259047297417,1161.0843970224262,5805.421985112131,eep_0.75,456
5,5,0,1.0,100000,0.40570839366416567,0.6719207137832242,0.2615796198690305,53.5,16.188006615270442,499.87713328590985,0.13423722982406616,0.00033109079893208144,8.0,0.7384203801309694,1631.4146790264904,3.0,500.0,0.01,0.005,1.0,0.14211118631760145,1163.009156981483,5815.0457849074155,eep_1.00,42
5,5,0,1.0,100000,0.36740379974551357,0.6420358546585382,0.33318733824407726,59.5,14.678762044365488,499.8660365234254,0.1289016306400299,0.002860922680222544,4.0,0.6668126617559228,1611.1945161179344,3.0,500.0,0.01,0.005,1.0,0.10339239741875184,1229.2902280561625,6146.451140280813,eep_1.00,123
5,5,0,1.0,100000,0.34684743977886007,0.6020340042410268,0.31747539285097565,50.0,13.886296963210382,499.8811950726234,0.12023545056581497,0.002126376514425332,4.0,0.6825246071490243,1512.1324719059994,3.0,500.0,0.01,0.005,1.0,0.14820963819118682,1102.8492310255765,5514.246155127883,eep_1.00,456
