scenario,do_kill,presence_weight,n,probability_coverage_ratio_n_finite,probability_coverage_ratio_mean,probability_coverage_ratio_std,coverage_ratio_n_finite,coverage_ratio_mean,coverage_ratio_std,efficiency_ratio_n_finite,efficiency_ratio_mean,efficiency_ratio_std,coverage_gini_n_finite,coverage_gini_mean,coverage_gini_std,recovery_time_n_finite,recovery_time_mean,recovery_time_std,recovery_coverage_at_end_n_finite,recovery_coverage_at_end_mean,recovery_coverage_at_end_std
flatD_M_31,False,0.0,3,3,0.40691309494620026,0.02542992182278905,3,0.03384860043378483,0.002316818525765078,3,0.7383561093134109,0.05343039358613249,3,0.4190896330728917,0.009581424721767606,0,nan,0.0,0,nan,0.0
flatD_M_31,False,0.01,3,3,0.45701361347831454,0.00974310688844803,3,0.031942099040976,0.0019552446505815293,3,0.6771989473117012,0.04270979682355583,3,0.42024737404269263,0.020182782960591804,0,nan,0.0,0,nan,0.0
flatD_M_31,True,0.0,3,3,0.3817340849645916,0.03414732671039277,3,0.0299262548291256,0.0006922868903532998,3,0.7676625266768705,0.05196975334307329,3,0.3907537564386699,0.010314325010106302,0,nan,0.0,3,0.0,0.0
flatD_M_31,True,0.01,3,3,0.42295615020687666,0.017647076415375777,3,0.026027527273379356,0.001830039139039615,3,0.6882020504294879,0.038365027156654734,3,0.43969611111921125,0.026628612906798747,1,2780.0,0.0,3,0.3333333333333333,0.5773502691896257
flatD_M_35,False,0.0,3,3,0.23027013302313057,0.00431196864482328,3,0.029778860709057567,0.0026500776777760356,3,0.9243748255764983,0.015887176213961414,3,0.4788676698790158,0.060541245012493194,0,nan,0.0,0,nan,0.0
flatD_M_35,False,0.01,3,3,0.20487358693526403,0.009147932584529653,3,0.04275347961653036,0.0029515744165824346,3,0.9212336469425197,0.05680446448376453,3,0.21379542308260602,0.06575296556638437,0,nan,0.0,0,nan,0.0
flatD_M_35,True,0.0,3,3,0.1919489229375131,0.010517724168092569,3,0.025652262718428683,0.0010603587401663071,3,0.9253777300282637,0.0280700863615091,3,0.4645115061782646,0.03663518791700281,0,nan,0.0,3,0.0,0.0
flatD_M_35,True,0.01,3,3,0.15960583496826075,0.01062167842845972,3,0.03627819787288854,0.002855647571359954,3,0.9247366814875976,0.05174222451857315,3,0.21919359896582447,0.08950077969181666,0,nan,0.0,3,0.0,0.0
flatD_M_40,False,0.0,3,3,0.21874973373358675,0.0063038993123836614,3,0.0209911970283246,0.0008028624984456862,3,0.8906706886338405,0.015490591477406722,3,0.6644731092892668,0.007144968377168631,0,nan,0.0,0,nan,0.0
flatD_M_40,False,0.01,3,3,0.21380056216970264,0.0300074807651366,3,0.02632362762734393,0.007824829512898984,3,0.9121812481815001,0.06160230918211124,3,0.5835981565256967,0.1276740477035664,0,nan,0.0,0,nan,0.0
