do_kill,presence_weight,n,probability_coverage_ratio_n_finite,probability_coverage_ratio_mean,probability_coverage_ratio_std,efficiency_ratio_n_finite,efficiency_ratio_mean,efficiency_ratio_std,recovery_time_n_finite,recovery_time_mean,recovery_time_std,recovery_coverage_at_end_n_finite,recovery_coverage_at_end_mean,recovery_coverage_at_end_std
False,0.0,30,30,0.20979435844052732,0.08910159078951764,30,0.7677583215816468,0.15048941151758827,0,nan,0.0,0,nan,0.0
False,0.01,30,30,0.21690695188659623,0.10148129505670961,30,0.7546305231446168,0.1426344311173991,0,nan,0.0,0,nan,0.0
True,0.0,30,30,0.19151537549772105,0.08433946153489871,30,0.8074754222387936,0.1321203405143808,9,305.77777777777777,363.6869456612987,30,0.3,0.466091599699399
True,0.01,30,30,0.1947393770193851,0.09598995727306779,30,0.7873067682786286,0.13173905790893042,15,831.4666666666667,1022.238989855578,30,0.5,0.5085476277156078
