scenario,num_drones,num_dogs,budget,seed,coverage_ratio,probability_coverage_ratio,coverage_gini,cluster_ratio,mean_pair_distance_cells,overlap_ratio,efficiency_ratio,effective_cells,redundant_visits,time_to_first_victim,info_propagation_latency,elapsed_s,total_cells,explored_cells,overlap_cells,probability_covered,probability_total,per_agent_explored,total_timesteps,paths_lengths_m,budget_consumed_m
sarenv_s1_5d_100k,5,0,100000.0,42,0.03506000827700372,0.2937195370128052,0.3796974318261914,0.0007252215954875101,61.546535052377116,0.33838077056577576,0.6616192294342242,15249,7799,,1257.438551980198,11.408248899999307,434940,15249,7799,0.2937195370128052,1.0,"{'drone_0': 4762, 'drone_1': 4409, 'drone_2': 4487, 'drone_3': 5065, 'drone_4': 4325}",2644,"{'drone_0': 99976.01310750692, 'drone_1': 99987.87949329277, 'drone_2': 99977.18008547461, 'drone_3': 99971.15009793121, 'drone_4': 99965.56991762981}","{'drone_0': np.float64(99976.01310751608), 'drone_1': np.float64(99987.87949327768), 'drone_2': np.float64(99977.18008548817), 'drone_3': np.float64(99971.150097931), 'drone_4': np.float64(99965.56991762322)}"
maigmo_5d_250k,5,0,250000.0,42,0.4611250054846211,0.8650435145981307,0.4919197160542572,0.0002489110143123833,79.91359676415681,0.5799476408401447,0.42005235915985534,21019,29020,,3640.9516404356286,38.4534421999997,45582,21019,29020,0.17630549099075665,0.20381112396717072,"{'drone_0': 10966, 'drone_1': 10740, 'drone_2': 9871, 'drone_3': 10044, 'drone_4': 8418}",6923,"{'drone_0': 249989.6834418717, 'drone_1': 249979.5900199631, 'drone_2': 249992.16653107794, 'drone_3': 249996.49757988984, 'drone_4': 249969.70598569352}","{'drone_0': np.float64(249989.6834418817), 'drone_1': np.float64(249979.59001997774), 'drone_2': np.float64(249992.1665311331), 'drone_3': np.float64(249996.49757992607), 'drone_4': np.float64(249969.70598571753)}"
sarenv_s5_5d2p_300k,5,2,300000.0,42,0.030153584402446313,0.21174460342151116,0.8241380077052469,0.06260164194603915,28.68674360431321,0.44727747808496293,0.5527225219150371,13115,10613,,3186.9827324771777,261.57617669997853,434940,13115,10613,0.2117445908005493,0.9999999403953552,"{'drone_0': 4302, 'drone_1': 3561, 'drone_2': 4407, 'drone_3': 4121, 'drone_4': 3373, 'dog_0': 1732, 'dog_1': 2232}",9393,"{'drone_0': 299987.39729868, 'drone_1': 299975.3574992094, 'drone_2': 299962.2707666329, 'drone_3': 299999.1031264763, 'drone_4': 299975.27416960336, 'dog_0': 288084.70943435567, 'dog_1': 280528.1161827446}","{'drone_0': np.float64(299987.3972986345), 'drone_1': np.float64(299975.35749917466), 'drone_2': np.float64(299962.2707666067), 'drone_3': np.float64(299999.10312643484), 'drone_4': np.float64(299975.2741695773), 'dog_0': np.float64(299983.8381983114), 'dog_1': np.float64(299988.51822677476)}"
