Scenario,Group,Environment,Climate,Radius_km,Budget_m,Algorithm,n_agents,Kill_fraction,N_agents_killed,Steps_completed,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.0,0,3742,42,10.0,6.83,0.0151,0.1209,0.178,0.822,0.13210399448871613,569.76,57.6
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.0,0,15000,42,42.0,27.5,0.0,0.0,0.0,0.0,0.43313,588.06,5.4
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.0,0,15000,42,51.0,38.35,0.0,0.0,0.0,0.0,0.490468,588.06,0.7
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.2,1,3735,42,10.5,6.54,0.0141,0.116,0.1512,0.8488,0.1277790069580078,516.48,54.5
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.2,1,15000,42,32.5,25.81,0.0,0.0,0.0,0.0,0.345713,486.13,5.2
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.2,1,15000,42,43.5,31.74,0.0,0.0,0.0,0.0,0.420462,486.13,0.8
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.4,2,3713,42,9.0,6.11,0.013,0.109,0.1362,0.8638,0.12019000202417374,461.82,50.2
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.4,2,15000,42,26.0,13.15,0.0,0.0,0.0,0.0,0.275177,384.2,5.3
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.4,2,15000,42,38.0,25.06,0.0,0.0,0.0,0.0,0.350915,384.2,1.7
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.6,3,3024,42,7.5,5.59,0.0116,0.0993,0.1288,0.8712,0.11137200146913528,407.03,41.5
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.6,3,15000,42,19.0,11.39,0.0,0.0,0.0,0.0,0.236719,282.27,6.4
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.6,3,15000,42,29.5,18.39,0.0,0.0,0.0,0.0,0.28183,282.27,0.8
