scenario,num_drones,num_dogs,budget,seed,coverage_ratio,probability_coverage_ratio,coverage_gini,cluster_ratio,mean_pair_distance_cells,overlap_ratio,efficiency_ratio,effective_cells,redundant_visits,time_to_first_victim,info_propagation_latency,elapsed_s,total_cells,explored_cells,overlap_cells,probability_covered,probability_total,per_agent_explored,total_timesteps,paths_lengths_m,budget_consumed_m
sarenv_s1_5d_100k,5,0,100000.0,42,0.03311261323400929,0.303457128048251,0.36745890261579106,0.008961141950832672,63.85618556701031,0.3821005663291574,0.6178994336708427,14402,8906,,1122.4566332218506,33.942207600019174,434940,14402,8906,0.303457128048251,1.0,"{'drone_0': 4636, 'drone_1': 4824, 'drone_2': 4882, 'drone_3': 4291, 'drone_4': 4675}",2573,"{'drone_0': 99975.51258454012, 'drone_1': 99999.07994944042, 'drone_2': 99975.30572191387, 'drone_3': 99999.63496601704, 'drone_4': 99984.89958160123}","{'drone_0': np.float64(99975.51258452433), 'drone_1': np.float64(99999.07994945771), 'drone_2': np.float64(99975.30572190322), 'drone_3': np.float64(99999.63496602004), 'drone_4': np.float64(99984.8995815931)}"
maigmo_5d_250k,5,0,250000.0,42,0.47049273836163397,0.9347744902708803,0.5164760252150711,0.0,81.24007727975271,0.5384880242742474,0.46151197572575264,21446,25023,,3248.892400907914,31.479001400002744,45582,21446,25023,0.1905174395179472,0.20381112396717072,"{'drone_0': 8340, 'drone_1': 9861, 'drone_2': 10210, 'drone_3': 9191, 'drone_4': 8867}",6935,"{'drone_0': 249987.79146016217, 'drone_1': 249971.6534191112, 'drone_2': 249991.16424057324, 'drone_3': 249970.21393629842, 'drone_4': 249977.86092017643}","{'drone_0': np.float64(249987.79146019332), 'drone_1': np.float64(249971.65341906788), 'drone_2': np.float64(249991.1642405913), 'drone_3': np.float64(249970.21393631652), 'drone_4': np.float64(249977.86092022146)}"
sarenv_s5_5d2p_300k,5,2,300000.0,42,0.03782590702165816,0.24783797293065107,0.7849919620065506,0.0331827387443527,35.23490159422548,0.42330342120022435,0.5766965787997756,16452,12076,,3349.5632556767914,168.53011709998827,434940,16452,12076,0.24783795815835674,0.9999999403953552,"{'drone_0': 4350, 'drone_1': 6213, 'drone_2': 4399, 'drone_3': 4615, 'drone_4': 3706, 'dog_0': 2430, 'dog_1': 2815}",9375,"{'drone_0': 299963.5889149952, 'drone_1': 299982.4742736159, 'drone_2': 299964.7040324668, 'drone_3': 299972.24855260964, 'drone_4': 299963.7105960641, 'dog_0': 289910.19590526086, 'dog_1': 279480.2352689717}","{'drone_0': np.float64(299963.58891495445), 'drone_1': np.float64(299982.4742735757), 'drone_2': np.float64(299964.7040324373), 'drone_3': np.float64(299972.2485525704), 'drone_4': np.float64(299963.7105960369), 'dog_0': np.float64(299993.0555321473), 'dog_1': np.float64(299975.841293707)}"
