Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km),Coverage Ratio (knowledge),Overlap Ratio,Prob Coverage Ratio
medium,RandomWalk,mountainous,dry,medium,5.0,200000.0,0.012543455224179035,0.0010047244988401823,6.0,2.3593494625196767,199.99999999999994,,,
medium,Greedy,mountainous,dry,medium,5.0,200000.0,0.08130678467694037,0.0019896454138092936,28.999999999999996,7.437645641150223,200.00000000000105,,,
medium,Spiral,mountainous,dry,medium,5.0,200000.0,0.08592973228551247,0.0004641566416262745,38.0,13.269190051104637,200.00000000000077,,,
medium,Concentric,mountainous,dry,medium,5.0,200000.0,0.08771136042778307,0.0005034768552463603,40.0,13.223314005187337,200.00000000000077,,,
medium,Pizza,mountainous,dry,medium,5.0,200000.0,0.08111508881426871,0.0013191610238075505,33.0,12.893186109140654,199.9999999999995,,,
medium,Swarm,,,,,,0.03679299354553223,0.000595851479868595,18.0,3.387103142718518,199.8584306380164,0.05357377912333816,0.4759656652360515,0.12848040651775433
