total_cells,explored_cells,coverage_ratio,overlap_cells,overlap_ratio,probability_covered,probability_total,probability_coverage_ratio,per_agent_explored,total_timesteps,paths_lengths_m,budget_consumed_m,effective_cells,redundant_visits,efficiency_ratio,time_to_first_victim,info_propagation_latency,coverage_gini,cluster_ratio,mean_pair_distance_cells,scenario,env_type,climate,presence_weight,seed,do_kill,kill_tick,max_steps,budget,recovery_zone_size,kill_applied,recovery_time,recovery_coverage_at_end,elapsed_s
434940,14402,0.03311261323400929,8906,0.3821005663291574,0.303457128048251,1.0,0.303457128048251,"{'drone_0': 4636, 'drone_1': 4824, 'drone_2': 4882, 'drone_3': 4291, 'drone_4': 4675}",2573,"{'drone_0': 99975.51258454012, 'drone_1': 99999.07994944042, 'drone_2': 99975.30572191387, 'drone_3': 99999.63496601704, 'drone_4': 99984.89958160123}","{'drone_0': np.float64(99975.51258452433), 'drone_1': np.float64(99999.07994945771), 'drone_2': np.float64(99975.30572190322), 'drone_3': np.float64(99999.63496602004), 'drone_4': np.float64(99984.8995815931)}",14402,8906,0.6178994336708427,,1122.4566332218506,0.36745890261579106,0.008961141950832672,63.85618556701031,flatT_S_01,flat,temperate,0.0,42,False,-1,15000,100000,0,False,nan,nan,67.71010979999994
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,flatT_S_01,flat,temperate,0.01,42,False,-1,15000,100000,0,False,nan,nan,51.706068200000004
434940,13068,0.030045523520485583,6605,0.3357393381792304,0.2798325353226687,1.0,0.2798325353226687,"{'drone_0': 4781, 'drone_1': 4429, 'drone_2': 863, 'drone_3': 4891, 'drone_4': 4709}",2626,"{'drone_0': 99975.08217179772, 'drone_1': 99961.97296015527, 'drone_2': 18675.6538619414, 'drone_3': 99990.02405523106, 'drone_4': 99958.69490308696}","{'drone_0': np.float64(99975.08217178949), 'drone_1': np.float64(99961.97296016946), 'drone_2': np.float64(18675.65386193886), 'drone_3': np.float64(99990.02405523126), 'drone_4': np.float64(99958.69490308723)}",13068,6605,0.6642606618207696,,1241.9829973373905,0.35459472472146825,0.008383233532934131,123.18642714570858,flatT_S_01,flat,temperate,0.0,42,True,500,15000,100000,5,True,36,1.0,39.99685469999997
434940,13787,0.03169862509771463,6556,0.3222730177456619,0.3041827566643178,1.0,0.3041827566643178,"{'drone_0': 4359, 'drone_1': 4915, 'drone_2': 1153, 'drone_3': 4629, 'drone_4': 5287}",2634,"{'drone_0': 99972.93802737059, 'drone_1': 99970.01117484298, 'drone_2': 20444.594254894655, 'drone_3': 99968.33937067522, 'drone_4': 99996.39734809689}","{'drone_0': np.float64(99972.93802737106), 'drone_1': np.float64(99970.01117484707), 'drone_2': np.float64(20444.594254894357), 'drone_3': np.float64(99968.33937066309), 'drone_4': np.float64(99996.3973480977)}",13787,6556,0.6777269822543381,,1184.728182487123,0.3295013721442466,0.0,97.87584830339321,flatT_S_01,flat,temperate,0.01,42,True,500,15000,100000,5,True,796,1.0,42.59553979999998
434940,13777,0.031675633420701704,10141,0.42399030019232375,0.3037934555106858,1.0,0.3037934555106858,"{'drone_0': 4966, 'drone_1': 4782, 'drone_2': 4799, 'drone_3': 4633, 'drone_4': 4738}",2606,"{'drone_0': 99974.80903067281, 'drone_1': 99999.09191619475, 'drone_2': 99972.30463770551, 'drone_3': 99968.0123892417, 'drone_4': 99965.61142759121}","{'drone_0': np.float64(99974.80903066616), 'drone_1': np.float64(99999.0919161931), 'drone_2': np.float64(99972.30463770244), 'drone_3': np.float64(99968.01238923916), 'drone_4': np.float64(99965.61142758557)}",13777,10141,0.5760096998076762,,1181.5406571905392,0.36782319902941807,0.008003201280512205,57.755582232893154,flatT_S_01,flat,temperate,0.0,1,False,-1,15000,100000,0,False,nan,nan,43.682935799999996
434940,15702,0.03610153124568906,8494,0.3510497602909572,0.3356724482357549,1.0,0.3356724482357549,"{'drone_0': 4718, 'drone_1': 5485, 'drone_2': 4387, 'drone_3': 5160, 'drone_4': 4446}",2629,"{'drone_0': 99972.41231830786, 'drone_1': 99998.46282974083, 'drone_2': 99984.19214204003, 'drone_3': 99958.93149074668, 'drone_4': 99978.63253491951}","{'drone_0': np.float64(99972.41231830447), 'drone_1': np.float64(99998.46282974313), 'drone_2': np.float64(99984.19214205093), 'drone_3': np.float64(99958.93149074003), 'drone_4': np.float64(99978.63253492049)}",15702,8494,0.6489502397090429,,1270.4240326369143,0.33515291048992313,0.000995850622406639,62.41489626556017,flatT_S_01,flat,temperate,0.01,1,False,-1,15000,100000,0,False,nan,nan,41.42690080000011
434940,13874,0.03189865268772704,6335,0.313474194665743,0.30335168287348324,1.0,0.30335168287348324,"{'drone_0': 4596, 'drone_1': 5117, 'drone_2': 1015, 'drone_3': 4497, 'drone_4': 4984}",2609,"{'drone_0': 99976.47689522516, 'drone_1': 99961.32330053764, 'drone_2': 19759.552850477714, 'drone_3': 99960.49975576936, 'drone_4': 99975.56971117959}","{'drone_0': np.float64(99976.4768952356), 'drone_1': np.float64(99961.32330054244), 'drone_2': np.float64(19759.552850475884), 'drone_3': np.float64(99960.4997557541), 'drone_4': np.float64(99975.56971117391)}",13874,6335,0.686525805334257,,1303.1484082887794,0.3191668761491522,0.029940119760479042,101.42335329341317,flatT_S_01,flat,temperate,0.0,1,True,500,15000,100000,5,True,388,1.0,41.06333449999988
434940,13502,0.03104336230284637,6291,0.31783964027686556,0.292919317357871,1.0,0.292919317357871,"{'drone_0': 4087, 'drone_1': 5488, 'drone_2': 1153, 'drone_3': 4307, 'drone_4': 4758}",2669,"{'drone_0': 99989.28318678016, 'drone_1': 99970.66524555079, 'drone_2': 20444.594254894655, 'drone_3': 99977.51580123456, 'drone_4': 99972.63910083714}","{'drone_0': np.float64(99989.28318677374), 'drone_1': np.float64(99970.66524555552), 'drone_2': np.float64(20444.594254894357), 'drone_3': np.float64(99977.51580122828), 'drone_4': np.float64(99972.63910083556)}",13502,6291,0.6821603597231345,,1313.3501364585006,0.34619035048021307,0.0,108.28043912175649,flatT_S_01,flat,temperate,0.01,1,True,500,15000,100000,5,True,304,1.0,34.31934359999991
434940,13961,0.03209868027773946,9409,0.40261018399657683,0.29889581926852316,1.0,0.29889581926852316,"{'drone_0': 4636, 'drone_1': 4878, 'drone_2': 4772, 'drone_3': 4291, 'drone_4': 4793}",2576,"{'drone_0': 99975.51258454012, 'drone_1': 99989.1625225466, 'drone_2': 99998.91496041286, 'drone_3': 99999.63496601704, 'drone_4': 99958.00756526219}","{'drone_0': np.float64(99975.51258452433), 'drone_1': np.float64(99989.16252256287), 'drone_2': np.float64(99998.91496040387), 'drone_3': np.float64(99999.63496602004), 'drone_4': np.float64(99958.00756525583)}",13961,9409,0.5973898160034232,,1079.2951963698952,0.3723139379084657,0.009014758675708017,61.55975269246111,flatT_S_01,flat,temperate,0.0,7,False,-1,15000,100000,0,False,nan,nan,12.01897329999997
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,flatT_S_01,flat,temperate,0.01,7,False,-1,15000,100000,0,False,nan,nan,10.925913700000137
