Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Likelihood,Path_km,Elapsed_s,Phase,Config,Max_hops,Kill_fraction,Seed,Scenario,Group,Environment,Climate,Grid,Radius_km
31.0,50.98,0.039,0.329,0.4468,0.5532,0.0193,4121.7235,20608.6175,0.327079,2009.19,627.3,E3,hops_3,3,0.0,123,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
29.5,49.18,0.0376,0.3144,0.4642,0.5358,0.0214,4072.4487,20362.2437,0.312242,2009.21,630.2,E3,hops_inf,999,0.0,123,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
48.0,25.76,0.0405,0.529,0.4203,0.5797,0.0428,1391.8036,6959.018,0.526059,1029.49,126.8,E3,hops_0,0,0.0,42,31,flat_dry,flat,dry,873x873,13.1
54.5,32.22,0.0505,0.5938,0.3407,0.6593,0.0777,1214.4299,6072.1494,0.590793,1029.6,127.1,E3,hops_1,1,0.0,42,31,flat_dry,flat,dry,873x873,13.1
55.0,33.78,0.0533,0.6112,0.3193,0.6807,0.0569,1203.5515,6017.7577,0.608077,1029.54,123.0,E3,hops_3,3,0.0,42,31,flat_dry,flat,dry,873x873,13.1
55.0,33.78,0.0533,0.6112,0.3193,0.6807,0.0569,1203.5515,6017.7577,0.608077,1029.54,115.2,E3,hops_inf,999,0.0,42,31,flat_dry,flat,dry,873x873,13.1
51.5,24.2,0.0383,0.5345,0.4538,0.5462,0.0441,1373.4838,6867.4192,0.531651,1029.56,120.9,E3,hops_0,0,0.0,123,31,flat_dry,flat,dry,873x873,13.1
55.0,32.35,0.0511,0.6033,0.3579,0.6421,0.0642,1292.2909,6461.4547,0.600578,1029.55,110.2,E3,hops_1,1,0.0,123,31,flat_dry,flat,dry,873x873,13.1
51.5,32.71,0.0518,0.5771,0.3526,0.6474,0.0924,1205.348,6026.7398,0.573549,1029.59,129.6,E3,hops_3,3,0.0,123,31,flat_dry,flat,dry,873x873,13.1
52.5,31.27,0.0498,0.5729,0.3787,0.6213,0.1108,1207.2557,6036.2785,0.569481,1029.58,123.1,E3,hops_inf,999,0.0,123,31,flat_dry,flat,dry,873x873,13.1
24.0,34.2,0.0523,0.29,0.1601,0.8399,0.0981,1625.3612,8126.8059,0.285229,1029.54,115.9,E3,hops_0,0,0.0,42,35,flat_dry,flat,dry,873x873,13.1
24.5,33.25,0.0509,0.3039,0.118,0.882,0.1094,1604.7174,8023.587,0.299164,1029.55,134.4,E3,hops_1,1,0.0,42,35,flat_dry,flat,dry,873x873,13.1
24.5,33.26,0.0509,0.304,0.1191,0.8809,0.1137,1614.9251,8074.6256,0.299357,1029.56,133.6,E3,hops_3,3,0.0,42,35,flat_dry,flat,dry,873x873,13.1
24.5,33.26,0.0509,0.304,0.1191,0.8809,0.1137,1614.9251,8074.6256,0.299357,1029.56,134.1,E3,hops_inf,999,0.0,42,35,flat_dry,flat,dry,873x873,13.1
22.5,30.68,0.0466,0.2305,0.2883,0.7117,0.0961,1814.762,9073.81,0.226917,1029.59,115.4,E3,hops_0,0,0.0,123,35,flat_dry,flat,dry,873x873,13.1
26.0,33.66,0.0511,0.2755,0.1843,0.8157,0.1196,1517.2379,7586.1894,0.271256,1029.56,122.4,E3,hops_1,1,0.0,123,35,flat_dry,flat,dry,873x873,13.1
26.0,33.66,0.0511,0.2755,0.1843,0.8157,0.1196,1517.2379,7586.1894,0.271256,1029.56,121.4,E3,hops_3,3,0.0,123,35,flat_dry,flat,dry,873x873,13.1
26.0,33.66,0.0511,0.2755,0.1843,0.8157,0.1196,1517.2379,7586.1894,0.271256,1029.56,120.9,E3,hops_inf,999,0.0,123,35,flat_dry,flat,dry,873x873,13.1
29.5,60.38,0.0424,0.3456,0.4153,0.5847,0.1176,3519.1539,17595.7694,0.342226,2234.79,534.7,E3,hops_0,0,0.0,42,46,mountain_dry,mountainous,dry,1286x1286,19.3
33.5,73.33,0.0515,0.3934,0.3133,0.6867,0.1261,3279.495,16397.4749,0.389446,2234.84,533.9,E3,hops_1,1,0.0,42,46,mountain_dry,mountainous,dry,1286x1286,19.3
30.5,68.45,0.0482,0.378,0.3553,0.6447,0.0939,3466.732,17333.6602,0.374303,2234.82,563.8,E3,hops_3,3,0.0,42,46,mountain_dry,mountainous,dry,1286x1286,19.3
30.5,68.45,0.0482,0.378,0.3553,0.6447,0.0939,3466.732,17333.6602,0.374303,2234.82,552.3,E3,hops_inf,999,0.0,42,46,mountain_dry,mountainous,dry,1286x1286,19.3
28.5,54.39,0.0382,0.35,0.4707,0.5293,0.0472,3837.4487,19187.2433,0.346752,2234.8,566.9,E3,hops_0,0,0.0,123,46,mountain_dry,mountainous,dry,1286x1286,19.3
30.5,59.67,0.042,0.3824,0.434,0.566,0.0523,3737.0436,18685.2178,0.379625,2234.87,550.0,E3,hops_1,1,0.0,123,46,mountain_dry,mountainous,dry,1286x1286,19.3
