Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Likelihood,Path_km,Elapsed_s,Phase,Config,Max_hops,Kill_fraction,Kill_at_step,N_agents_killed,Steps_completed,Seed,Scenario,Group,Environment,Climate,Grid,Radius_km
31.0,56.33,0.043,0.3461,0.3789,0.6211,0.0491,3756.7673,18783.8366,0.343428,2009.25,532.7,E5,kill_00,1,0.0,2000,0,10229,123,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
31.0,48.56,0.0372,0.3215,0.3761,0.6239,0.2062,3409.6939,17048.4697,0.318813,1688.89,523.3,E5,kill_20,1,0.2,2000,1,10145,123,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
24.0,37.58,0.0287,0.2762,0.3894,0.6106,0.3141,2951.1331,14755.6657,0.274211,1366.88,447.5,E5,kill_40,1,0.4,2000,2,10073,123,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
24.5,33.56,0.0256,0.2516,0.2993,0.7007,0.3888,2266.1068,11330.5338,0.2492,1044.63,431.9,E5,kill_60,1,0.6,2000,3,10032,123,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
54.5,32.22,0.0505,0.5938,0.3407,0.6593,0.0777,1214.4299,6072.1494,0.590793,1029.6,113.8,E5,kill_00,1,0.0,2000,0,5635,42,31,flat_dry,flat,dry,873x873,13.1
55.0,28.33,0.0445,0.5759,0.3171,0.6829,0.1027,1146.3166,5731.5828,0.573001,898.7,110.6,E5,kill_20,1,0.2,2000,1,5601,42,31,flat_dry,flat,dry,873x873,13.1
48.0,25.32,0.0396,0.5364,0.2788,0.7212,0.1793,956.1355,4780.6774,0.532663,763.99,109.8,E5,kill_40,1,0.4,2000,2,5555,42,31,flat_dry,flat,dry,873x873,13.1
48.0,23.42,0.0367,0.5212,0.1991,0.8009,0.3217,778.6438,3893.2189,0.516575,636.2,112.5,E5,kill_60,1,0.6,2000,3,5551,42,31,flat_dry,flat,dry,873x873,13.1
55.0,32.35,0.0511,0.6033,0.3579,0.6421,0.0642,1292.2909,6461.4547,0.600578,1029.55,115.9,E5,kill_00,1,0.0,2000,0,5604,123,31,flat_dry,flat,dry,873x873,13.1
49.5,28.17,0.0448,0.5622,0.3377,0.6623,0.124,1158.1407,5790.7036,0.559712,897.93,116.0,E5,kill_20,1,0.2,2000,1,5697,123,31,flat_dry,flat,dry,873x873,13.1
49.0,25.02,0.0398,0.5386,0.3129,0.6871,0.2251,1008.2001,5041.0004,0.535476,763.97,114.0,E5,kill_40,1,0.4,2000,2,5599,123,31,flat_dry,flat,dry,873x873,13.1
45.0,21.71,0.0344,0.5022,0.2611,0.7389,0.2601,843.6192,4218.0958,0.498574,629.64,118.2,E5,kill_60,1,0.6,2000,3,5607,123,31,flat_dry,flat,dry,873x873,13.1
24.5,33.25,0.0509,0.3039,0.118,0.882,0.1094,1604.7174,8023.587,0.299164,1029.55,132.7,E5,kill_00,1,0.0,2000,0,5983,42,35,flat_dry,flat,dry,873x873,13.1
22.5,32.7,0.0498,0.2853,0.1205,0.8795,0.2122,1540.0273,7700.1367,0.280675,903.28,110.1,E5,kill_20,1,0.2,2000,1,5740,42,35,flat_dry,flat,dry,873x873,13.1
17.5,28.85,0.044,0.2251,0.1165,0.8835,0.323,1189.0651,5945.3256,0.221658,777.0,99.1,E5,kill_40,1,0.4,2000,2,5746,42,35,flat_dry,flat,dry,873x873,13.1
13.5,27.03,0.0412,0.186,0.12,0.88,0.33,982.8303,4914.1514,0.18312,655.32,90.8,E5,kill_60,1,0.6,2000,3,5561,42,35,flat_dry,flat,dry,873x873,13.1
26.0,33.66,0.0511,0.2755,0.1843,0.8157,0.1196,1517.2379,7586.1894,0.271256,1029.56,119.4,E5,kill_00,1,0.0,2000,0,5859,123,35,flat_dry,flat,dry,873x873,13.1
23.5,32.24,0.0488,0.2551,0.1843,0.8157,0.1917,1382.4592,6912.296,0.251292,904.73,105.2,E5,kill_20,1,0.2,2000,1,5813,123,35,flat_dry,flat,dry,873x873,13.1
21.0,28.32,0.0428,0.2201,0.2274,0.7726,0.2965,1380.4003,6902.0013,0.217166,779.84,90.3,E5,kill_40,1,0.4,2000,2,5342,123,35,flat_dry,flat,dry,873x873,13.1
16.5,25.7,0.0389,0.1833,0.2212,0.7788,0.3143,1116.8366,5584.1832,0.180959,658.31,86.9,E5,kill_60,1,0.6,2000,3,5193,123,35,flat_dry,flat,dry,873x873,13.1
33.5,73.33,0.0515,0.3934,0.3133,0.6867,0.1261,3279.495,16397.4749,0.389446,2234.84,534.5,E5,kill_00,1,0.0,2000,0,11418,42,46,mountain_dry,mountainous,dry,1286x1286,19.3
30.5,63.16,0.0442,0.3498,0.2903,0.7097,0.2395,2662.049,13310.2452,0.345673,1867.08,465.9,E5,kill_20,1,0.2,2000,1,11309,42,46,mountain_dry,mountainous,dry,1286x1286,19.3
26.0,56.4,0.0395,0.3149,0.2126,0.7874,0.2832,2086.0038,10430.0188,0.310765,1499.23,463.2,E5,kill_40,1,0.4,2000,2,11297,42,46,mountain_dry,mountainous,dry,1286x1286,19.3
19.0,45.91,0.0323,0.2262,0.1745,0.8255,0.3318,1508.5529,7542.7643,0.222821,1130.98,446.0,E5,kill_60,1,0.6,2000,3,11239,42,46,mountain_dry,mountainous,dry,1286x1286,19.3
30.5,59.67,0.042,0.3824,0.434,0.566,0.0523,3737.0436,18685.2178,0.379625,2234.87,531.3,E5,kill_00,1,0.0,2000,0,11492,123,46,mountain_dry,mountainous,dry,1286x1286,19.3
28.0,57.42,0.0403,0.3623,0.3411,0.6589,0.2116,2986.8815,14934.4075,0.35869,1866.57,522.2,E5,kill_20,1,0.2,2000,1,11381,123,46,mountain_dry,mountainous,dry,1286x1286,19.3
29.0,49.97,0.035,0.3374,0.2845,0.7155,0.3024,2490.0923,12450.4616,0.333719,1498.75,523.1,E5,kill_40,1,0.4,2000,2,11362,123,46,mountain_dry,mountainous,dry,1286x1286,19.3
23.0,40.14,0.0281,0.2949,0.2535,0.7465,0.4119,1964.8528,9824.264,0.291015,1130.59,500.4,E5,kill_60,1,0.6,2000,3,11183,123,46,mountain_dry,mountainous,dry,1286x1286,19.3
34.0,56.48,0.0396,0.3532,0.3751,0.6249,0.0217,3702.2103,18511.0515,0.35007,2234.83,566.7,E5,kill_00,1,0.0,2000,0,12081,42,50,mountain_dry,mountainous,dry,1286x1286,19.3
33.0,54.98,0.0385,0.3434,0.2759,0.7241,0.2508,2842.5695,14212.8474,0.339146,1869.0,514.1,E5,kill_20,1,0.2,2000,1,11892,42,50,mountain_dry,mountainous,dry,1286x1286,19.3
30.0,46.37,0.0326,0.318,0.2092,0.7908,0.3651,2430.7594,12153.797,0.313969,1503.99,506.3,E5,kill_40,1,0.4,2000,2,12111,42,50,mountain_dry,mountainous,dry,1286x1286,19.3
28.0,42.25,0.0296,0.2912,0.1063,0.8937,0.4741,1773.5602,8867.8012,0.286183,1138.5,476.8,E5,kill_60,1,0.6,2000,3,12204,42,50,mountain_dry,mountainous,dry,1286x1286,19.3
38.5,60.72,0.0426,0.3814,0.3416,0.6584,0.0826,3508.8911,17544.4554,0.377301,2234.85,539.9,E5,kill_00,1,0.0,2000,0,11946,123,50,mountain_dry,mountainous,dry,1286x1286,19.3
34.5,52.98,0.0372,0.3545,0.2879,0.7121,0.1918,3146.0759,15730.3797,0.350342,1869.59,544.8,E5,kill_20,1,0.2,2000,1,12144,123,50,mountain_dry,mountainous,dry,1286x1286,19.3
33.0,49.69,0.0348,0.3222,0.1859,0.8141,0.3496,2251.3508,11256.754,0.3171,1504.54,490.1,E5,kill_40,1,0.4,2000,2,12195,123,50,mountain_dry,mountainous,dry,1286x1286,19.3
25.5,38.64,0.0271,0.2511,0.1919,0.8081,0.4263,1700.9052,8504.5262,0.246614,1139.12,462.0,E5,kill_60,1,0.6,2000,3,12002,123,50,mountain_dry,mountainous,dry,1286x1286,19.3
