Scenario,Group,Environment,Climate,Grid,Radius_km,Budget_m,Algorithm,Seed,n_agents,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
11,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,456,5,21.5,10.72,0.0279,0.2807,0.4604,0.5396,0.278116,587.98,8.1
12,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,42,5,36.0,12.87,0.0332,0.3273,0.5133,0.4867,0.325465,587.95,11.0
12,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,123,5,31.0,12.17,0.0316,0.3159,0.542,0.458,0.313643,587.96,11.1
12,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,456,5,29.5,12.18,0.0315,0.3168,0.5289,0.4711,0.315053,587.98,11.3
13,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,42,5,11.5,10.0,0.0262,0.1188,0.1461,0.8539,0.116029,587.97,7.2
13,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,123,5,12.0,9.95,0.0263,0.1189,0.1221,0.8779,0.115976,587.93,7.1
13,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,456,5,15.0,9.83,0.0261,0.12,0.1228,0.8772,0.116966,587.92,6.8
14,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,42,5,29.0,12.92,0.0339,0.3518,0.4607,0.5393,0.348921,587.96,9.0
14,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,123,5,33.0,13.52,0.0355,0.3626,0.4245,0.5755,0.359593,587.93,33.4
14,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,456,5,29.0,14.66,0.0386,0.3557,0.4063,0.5937,0.351894,588.0,8.5
15,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,42,5,22.0,7.42,0.02,0.2252,0.2878,0.7122,0.221549,587.98,10.6
15,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,123,5,17.0,8.4,0.0225,0.2321,0.1313,0.8687,0.22792,587.98,115.3
15,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,456,5,13.0,6.93,0.0186,0.2139,0.2845,0.7155,0.209526,588.0,11.3
16,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_5D0P,42,5,30.5,33.75,0.0264,0.2977,0.473,0.527,0.295063,2009.26,75.0
16,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_5D0P,123,5,28.0,30.39,0.0238,0.2797,0.4977,0.5023,0.277855,2009.25,78.4
16,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_5D0P,456,5,32.5,37.19,0.029,0.3211,0.4315,0.5685,0.318546,2009.21,79.6
17,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_5D0P,42,5,13.5,25.93,0.0198,0.2042,0.4859,0.5141,0.201485,2009.26,99.9
17,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_5D0P,123,5,14.0,24.33,0.0187,0.1898,0.5008,0.4992,0.187117,2009.25,100.6
17,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_5D0P,456,5,9.0,23.65,0.0181,0.1826,0.5294,0.4706,0.180077,2009.27,99.3
18,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_5D0P,42,5,25.5,43.48,0.0335,0.2872,0.4687,0.5313,0.284924,2009.23,71.6
18,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_5D0P,123,5,29.0,42.16,0.0325,0.2839,0.4836,0.5164,0.281559,2009.21,73.7
18,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_5D0P,456,5,29.0,35.66,0.0277,0.2577,0.5591,0.4409,0.256192,2009.23,75.6
19,mountain_temperate,mountainous,temperate,1219x1219,18.3,401868.00000000006,Swarm_5D0P,42,5,18.5,27.52,0.0216,0.2007,0.3584,0.6416,0.198179,2009.25,73.5
19,mountain_temperate,mountainous,temperate,1219x1219,18.3,401868.00000000006,Swarm_5D0P,123,5,18.5,22.34,0.0175,0.1794,0.4109,0.5891,0.17698,2009.27,74.3
19,mountain_temperate,mountainous,temperate,1219x1219,18.3,401868.00000000006,Swarm_5D0P,456,5,25.5,28.42,0.0222,0.2315,0.3551,0.6449,0.228661,2009.28,74.1
20,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_5D0P,42,5,22.0,41.52,0.0318,0.2736,0.5146,0.4854,0.271716,2009.22,78.8
20,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_5D0P,123,5,25.0,44.22,0.0338,0.2895,0.4843,0.5157,0.28747,2009.21,81.9
20,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_5D0P,456,5,26.5,41.48,0.0318,0.2696,0.5089,0.4911,0.267671,2009.2,79.1
21,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,42,5,23.0,28.94,0.022,0.2424,0.5506,0.4494,0.241144,2009.25,99.0
21,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,123,5,31.0,26.12,0.0199,0.2293,0.578,0.422,0.228095,2009.23,101.9
21,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,456,5,24.0,28.34,0.0216,0.2376,0.5531,0.4469,0.236525,2009.28,100.4
22,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,42,5,20.0,29.07,0.0226,0.2181,0.4426,0.5574,0.215426,2009.3,88.1
22,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,123,5,18.5,27.21,0.0211,0.2055,0.4728,0.5272,0.202607,2009.25,84.2
22,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,456,5,16.0,29.88,0.0232,0.1978,0.4387,0.5613,0.194957,2009.24,83.0
23,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_5D0P,42,5,31.0,44.03,0.0343,0.3042,0.3798,0.6202,0.301808,2009.23,66.3
23,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_5D0P,123,5,30.0,42.73,0.033,0.2966,0.3956,0.6044,0.293957,2009.24,66.6
23,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_5D0P,456,5,25.5,41.06,0.0319,0.2885,0.4067,0.5933,0.28611,2009.26,65.2
24,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,42,5,2.0,31.2,0.0235,0.2008,0.6165,0.3835,0.199933,2009.19,71.8
24,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,123,5,4.0,31.59,0.0239,0.2029,0.6205,0.3795,0.202085,2009.2,75.8
24,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,456,5,3.5,30.07,0.0227,0.1951,0.6382,0.3618,0.194142,2009.22,78.4
25,mountain_temperate,mountainous,temperate,1219x1219,18.3,401868.00000000006,Swarm_5D0P,42,5,3.0,28.6,0.0216,0.178,0.6454,0.3546,0.177261,2009.18,82.3
25,mountain_temperate,mountainous,temperate,1219x1219,18.3,401868.00000000006,Swarm_5D0P,123,5,3.0,29.17,0.022,0.1808,0.6414,0.3586,0.179896,2009.21,81.7
25,mountain_temperate,mountainous,temperate,1219x1219,18.3,401868.00000000006,Swarm_5D0P,456,5,3.0,30.4,0.0229,0.1871,0.6328,0.3672,0.18624,2009.21,80.3
26,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_5D0P,42,5,19.5,69.33,0.0537,0.3178,0.0235,0.9765,0.311704,2009.24,76.0
26,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_5D0P,123,5,13.5,62.21,0.0483,0.229,0.1661,0.8339,0.224994,2009.26,74.2
26,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_5D0P,456,5,20.5,69.92,0.0541,0.3232,0.027,0.973,0.317373,2009.28,89.8
27,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,42,5,41.5,58.51,0.0463,0.4611,0.1306,0.8694,0.45689,2009.25,66.8
27,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,123,5,37.5,53.55,0.0425,0.4157,0.2109,0.7891,0.411934,2009.26,62.0
27,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,456,5,37.0,50.36,0.04,0.3846,0.167,0.833,0.38087,2009.27,65.8
