Config,Comm_range,Evaporation_rate,Ever_explored_penalty,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Likelihood,Path_km,Elapsed_s,Scenario,Group,Environment,Climate,Grid,Radius_km
E6_comm_2000,2000.0,0.01,0.0,42,35.0,41.67,0.0322,0.3565,0.448,0.552,0.0268,3183.4889,15917.4445,0.353833,2009.23,531.5,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
E6_comm_5000,5000.0,0.01,0.0,42,40.0,59.75,0.0463,0.4334,0.3164,0.6836,0.0413,2980.7266,14903.6332,0.428609,2009.25,943.7,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
E7_evap_0005,500.0,0.005,0.0,42,29.5,37.6,0.029,0.3197,0.4538,0.5462,0.0418,3114.1485,15570.7423,0.316826,2009.28,418.3,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
E7_evap_0002,500.0,0.002,0.0,42,30.0,33.95,0.0263,0.3171,0.4882,0.5118,0.0213,3079.5788,15397.894,0.314528,2009.24,420.1,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
E8_eep_05,500.0,0.01,0.5,42,32.0,37.43,0.0283,0.3273,0.5052,0.4948,0.041,3361.3367,16806.6835,0.324653,2009.22,402.6,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
E8_eep_15,500.0,0.01,1.5,42,32.5,40.42,0.0306,0.3185,0.5161,0.4839,0.0156,3359.0572,16795.2862,0.316361,2009.21,391.5,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
baseline,500.0,0.01,0.0,123,31.5,33.7,0.0261,0.2893,0.4906,0.5094,0.0238,3010.1191,15050.5953,0.287523,2009.22,413.3,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
E6_comm_2000,2000.0,0.01,0.0,123,40.0,44.23,0.0342,0.3741,0.4231,0.5769,0.049,3086.1274,15430.6372,0.370906,2009.22,501.6,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
E6_comm_5000,5000.0,0.01,0.0,123,48.5,61.28,0.0473,0.4568,0.2603,0.7397,0.0256,2745.6501,13728.2504,0.451108,2009.23,827.7,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
E7_evap_0005,500.0,0.005,0.0,123,31.0,39.42,0.0305,0.3049,0.4331,0.5669,0.0548,2914.6805,14573.4027,0.301949,2009.22,401.9,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
E7_evap_0002,500.0,0.002,0.0,123,37.0,39.32,0.0305,0.345,0.4491,0.5509,0.0203,3144.8624,15724.3118,0.342212,2009.24,409.6,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
E8_eep_05,500.0,0.01,0.5,123,37.0,41.56,0.0316,0.3562,0.4519,0.5481,0.0242,3302.6622,16513.3108,0.352698,2009.24,393.7,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
E8_eep_15,500.0,0.01,1.5,123,37.0,45.18,0.034,0.3427,0.4556,0.5444,0.0467,3203.1166,16015.5831,0.339695,2009.17,385.8,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
