Scenario,Group,Environment,Climate,Radius_km,Budget_m,Algorithm,n_agents,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
31,flat_dry,flat,dry,13.1,205932.0,Swarm_0D5P,5,42,48.5,24.2,0.0166,0.4571,0.4611,0.5389,0.49633,1305.75,140.4
31,flat_dry,flat,dry,13.1,205932.0,Swarm_5D0P,5,123,55.0,32.35,0.0511,0.6033,0.3579,0.6421,0.600578,1029.55,104.2
31,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,123,52.5,28.98,0.0389,0.5459,0.3403,0.6597,0.556611,1144.58,137.4
31,flat_dry,flat,dry,13.1,205932.0,Swarm_0D5P,5,123,47.0,22.81,0.0161,0.4381,0.4943,0.5057,0.470483,1296.6,134.8
31,flat_dry,flat,dry,13.1,205932.0,Swarm_5D0P,5,456,56.0,33.26,0.0525,0.5857,0.3394,0.6606,0.582796,1029.61,106.4
31,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,456,48.5,28.86,0.0376,0.5469,0.3688,0.6312,0.55642,1145.35,140.3
31,flat_dry,flat,dry,13.1,205932.0,Swarm_0D5P,5,456,44.5,20.91,0.0146,0.4291,0.4831,0.5169,0.463832,1272.21,138.1
35,flat_dry,flat,dry,13.1,205932.0,Swarm_5D0P,5,42,24.5,33.25,0.0509,0.3039,0.118,0.882,0.299164,1029.55,120.0
35,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,42,29.0,25.27,0.0347,0.2964,0.1105,0.8895,0.314983,1043.54,159.4
35,flat_dry,flat,dry,13.1,205932.0,Swarm_0D5P,5,42,23.0,16.05,0.0164,0.2087,0.1797,0.8203,0.241459,1038.62,126.3
35,flat_dry,flat,dry,13.1,205932.0,Swarm_5D0P,5,123,26.0,33.66,0.0511,0.2755,0.1843,0.8157,0.271256,1029.56,107.4
35,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,123,31.5,26.15,0.0366,0.289,0.1697,0.8303,0.302092,1037.73,136.3
