Seed,Algorithm,N_agents,Mean_prob_swept,Total_prob_swept,Std_prob_swept,Min_prob_swept,Max_prob_swept,Agent_prob_gini,Victims_pct,Coverage_ratio,Prob_covered_ratio,Elapsed_s
42,Swarm,5,0.041389969038696635,0.20694984519348317,0.007888595114318518,0.0300668447554757,0.05420519051083659,0.10404116141268971,54.50000000000001,0.33405730332148653,0.6330686451921239,16.4
42,Pizza,5,0.04072061307618742,0.2036030653809371,0.012788866684341031,0.026710577751486535,0.06138506826443659,0.17084035438924428,100.0,,,14.8
42,Greedy,5,0.024805068072795988,0.12402534036397994,0.010004020245573442,0.010334057873866686,0.04158173046470809,0.2126537580753427,49.5,,,15.4
42,Spiral,5,0.040188312264403545,0.2009415613220177,0.0023958675074233922,0.037282430418124374,0.043676972040086665,0.033132527920320065,98.5,,,13.2
123,Swarm,5,0.04445496860568323,0.22227484302841616,0.008071544029835299,0.03339620595162073,0.05413596271983552,0.09930857919616876,55.50000000000001,0.34460971436093196,0.6763655974113453,20.3
123,Pizza,5,0.04072061307618742,0.2036030653809371,0.012788866684341031,0.026710577751486535,0.06138506826443659,0.17084035438924428,100.0,,,14.9
123,Greedy,5,0.03312369038531955,0.16561845192659777,0.011771930830183979,0.014635198592330246,0.04877742193713198,0.19854916942662948,66.5,,,14.3
123,Spiral,5,0.040188312264403545,0.2009415613220177,0.0023958675074233922,0.037282430418124374,0.043676972040086665,0.033132527920320065,99.5,,,13.0
456,Swarm,5,0.04381368092106375,0.21906840460531873,0.011980922551590466,0.0294667865211165,0.058830570333049205,0.14940462149352562,56.00000000000001,0.3429423895397306,0.67551631011431,17.4
456,Pizza,5,0.04072061307618742,0.2036030653809371,0.012788866684341031,0.026710577751486535,0.06138506826443659,0.17084035438924428,100.0,,,15.0
456,Greedy,5,0.026768948674609494,0.13384474337304747,0.014737627514831974,0.010280390876342953,0.04702598448367877,0.30376158136046727,51.5,,,16.6
456,Spiral,5,0.040188312264403545,0.2009415613220177,0.0023958675074233922,0.037282430418124374,0.043676972040086665,0.033132527920320065,99.0,,,14.7
