n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,5,0,0.0,100000,0.28344521960422975,0.5858969546659529,0.43303493066526244,51.0,11.274346949166093,499.9337379256713,0.11798778176307678,0.0027868340201194237,8.0,0.5669650693347376,1594.1165086887836,8.9,hops_0,42
5,5,0,1.0,100000,0.2988240972313633,0.6339675544457176,0.436985905013847,55.00000000000001,11.901889848227846,499.876717398282,0.1280229687690735,0.00278964526773705,8.0,0.5630140949861531,1551.2013437364542,8.1,hops_1,42
5,5,0,3.0,100000,0.2988240972313633,0.6339675544457176,0.436985905013847,55.00000000000001,11.901889848227846,499.876717398282,0.1280229687690735,0.00278964526773705,8.0,0.5630140949861531,1551.2013437364542,7.4,hops_3,42
5,5,0,999.0,100000,0.2988240972313633,0.6339675544457176,0.436985905013847,55.00000000000001,11.901889848227846,499.876717398282,0.1280229687690735,0.00278964526773705,8.0,0.5630140949861531,1551.2013437364542,8.2,hops_inf,42
5,5,0,0.0,100000,0.2395901891097363,0.538593229213198,0.4505433688871,52.0,9.556799650711712,499.9279778340944,0.10799890011548996,0.0028731669214019295,4.0,0.5494566311129,1646.9612598108272,2.4,hops_0,123
5,5,0,1.0,100000,0.30902549251897676,0.6316547126974262,0.3888937093275488,48.0,12.25757039345369,499.8963077826507,0.1273370236158371,0.002873193372381186,4.0,0.6111062906724511,1270.518847755148,2.3,hops_1,123
5,5,0,3.0,100000,0.26363476811021896,0.527213705407795,0.41386206223783045,45.0,10.483338303097526,499.93770035947614,0.10586784780025482,0.002873188661352322,4.0,0.5861379377621695,1557.5324121954247,3.3,hops_3,123
5,5,0,999.0,100000,0.26363476811021896,0.527213705407795,0.41386206223783045,45.0,10.483338303097526,499.93770035947614,0.10586784780025482,0.002873188661352322,4.0,0.5861379377621695,1557.5324121954247,3.0,hops_inf,123
5,5,0,0.0,100000,0.2990215435917687,0.6327473475018166,0.43493221674059945,57.99999999999999,11.899246299224407,499.8684357286945,0.12719637155532837,0.002577665613769605,4.0,0.5650677832594005,1502.117532440612,2.1,hops_0,456
5,5,0,1.0,100000,0.2768417357728928,0.5715173239106366,0.4961469355160711,47.5,11.032377610360507,499.9114538728305,0.11549284309148788,0.0025656222599215895,4.0,0.503853064483929,1231.1528908794787,2.2,hops_1,456
5,5,0,3.0,100000,0.32385590803387304,0.6971344356559558,0.3619743268358041,65.5,12.884649675073321,499.9500934523225,0.1400717943906784,0.0025729108005004392,4.0,0.6380256731641959,1510.3431884887966,2.2,hops_3,456
5,5,0,999.0,100000,0.32385590803387304,0.6971344356559558,0.3619743268358041,65.5,12.884649675073321,499.9500934523225,0.1400717943906784,0.0025729108005004392,4.0,0.6380256731641959,1510.3431884887966,2.2,hops_inf,456
