n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed,N,Budget_per_agent_km
3,2,1,1.0,166666.66666666666,0.05595938740541288,0.22714401525037406,0.32770745428973275,19.5,9.780902257402492,480.69881769434517,0.10900221765041351,0.004315849578392539,17.0,0.6722925457102672,2480.7470843255787,5.5,Swarm_3,42,3,166.66666666666666
3,3,0,,166666.66666666666,,,,18.5,14.135458488731635,500.0000000000007,0.11144939011107254,0.0017442471533519297,,,,4.5,Greedy,42,3,166.66666666666666
3,3,0,,166666.66666666666,,,,28.499999999999996,33.1442925458231,500.0,0.13696027588728646,0.00046408528961049676,,,,0.9,Spiral,42,3,166.66666666666666
3,3,0,,166666.66666666666,,,,35.5,32.79105922769445,500.00000000000074,0.20589104081764592,0.0008938950715744824,,,,1.0,Pizza,42,3,166.66666666666666
3,2,1,1.0,166666.66666666666,0.057869754472600336,0.23564381652820235,0.3317151109199287,24.0,10.410780442052117,457.1381527480683,0.11514438688755035,0.0043158332620421595,13.0,0.6682848890800713,2474.5972574325883,5.3,Swarm_3,123,3,166.66666666666666
3,3,0,,166666.66666666666,,,,24.5,15.905009279476317,500.0,0.12956120889693404,0.001636270293882979,,,,4.4,Greedy,123,3,166.66666666666666
3,3,0,,166666.66666666666,,,,27.0,33.1442925458231,500.0,0.13696027588728646,0.00046408528961049676,,,,0.9,Spiral,123,3,166.66666666666666
3,3,0,,166666.66666666666,,,,46.5,32.79105922769445,500.00000000000074,0.20589104081764592,0.0008938950715744824,,,,0.3,Pizza,123,3,166.66666666666666
3,2,1,1.0,166666.66666666666,0.059843977820585134,0.254894698906714,0.29589281242173804,25.5,11.705590934068251,484.75538730457777,0.12498148530721664,0.004312630191411739,11.0,0.704107187578262,2470.8221253155843,5.3,Swarm_3,456,3,166.66666666666666
3,3,0,,166666.66666666666,,,,18.0,12.241374443872978,500.00000000000017,0.09464328979181796,0.0017418285891763407,,,,4.4,Greedy,456,3,166.66666666666666
3,3,0,,166666.66666666666,,,,28.499999999999996,33.1442925458231,500.0,0.13696027588728646,0.00046408528961049676,,,,0.8,Spiral,456,3,166.66666666666666
3,3,0,,166666.66666666666,,,,43.5,32.79105922769445,500.00000000000074,0.20589104081764592,0.0008938950715744824,,,,0.4,Pizza,456,3,166.66666666666666
5,3,2,1.0,100000.0,0.0588222773278275,0.242154084566216,0.3936368623148656,20.0,11.30230394078057,464.40883576760024,0.12005244195461273,0.002848539888015175,9.0,0.6063631376851344,1264.798922888617,4.2,Swarm_5,42,5,100.0
5,5,0,,100000.0,,,,27.500000000000004,16.22492587020407,499.99999999999955,0.1425107573764537,0.001950661324614272,,,,4.4,Greedy,42,5,100.0
5,5,0,,100000.0,,,,30.5,33.151101460832784,499.9999999999998,0.13513656921665185,0.0004627592819281773,,,,0.9,Spiral,42,5,100.0
5,5,0,,100000.0,,,,35.5,32.55850596222095,499.9999999999994,0.20434714324239675,0.0013149308163302683,,,,0.3,Pizza,42,5,100.0
5,3,2,1.0,100000.0,0.06513872777003225,0.25386602251663737,0.35400284975460444,27.0,12.271441204982569,463.3133238784966,0.12564894556999207,0.0028335073272882493,24.0,0.6459971502453955,1334.7907125307124,4.3,Swarm_5,123,5,100.0
5,5,0,,100000.0,,,,33.0,16.67383976173437,499.9999999999997,0.15798322167273837,0.002015366315150459,,,,4.3,Greedy,123,5,100.0
5,5,0,,100000.0,,,,25.0,33.151101460832784,499.9999999999998,0.13513656921665185,0.0004627592819281773,,,,1.0,Spiral,123,5,100.0
5,5,0,,100000.0,,,,46.5,32.55850596222095,499.9999999999994,0.20434714324239675,0.0013149308163302683,,,,0.3,Pizza,123,5,100.0
5,3,2,1.0,100000.0,0.0588222773278275,0.242154084566216,0.3936368623148656,28.999999999999996,11.30230394078057,464.40883576760024,0.12005244195461273,0.002848539888015175,22.0,0.6063631376851344,1264.798922888617,4.2,Swarm_5,456,5,100.0
5,5,0,,100000.0,,,,19.0,11.798684981619768,500.00000000000017,0.09622379455933447,0.0019686143888466697,,,,4.4,Greedy,456,5,100.0
5,5,0,,100000.0,,,,31.0,33.151101460832784,499.9999999999998,0.13513656921665185,0.0004627592819281773,,,,0.9,Spiral,456,5,100.0
5,5,0,,100000.0,,,,43.0,32.55850596222095,499.9999999999994,0.20434714324239675,0.0013149308163302683,,,,0.4,Pizza,456,5,100.0
7,4,3,1.0,71428.57142857143,0.06738966166813891,0.25558999902340923,0.33986655546288574,27.0,13.388811177437853,471.9204364387035,0.1281430721282959,0.0024357007980397877,0.0,0.6601334445371143,916.2799413828322,4.6,Swarm_7,42,7,71.42857142857143
7,7,0,,71428.57142857143,,,,24.0,15.145250324111387,500.0000000000001,0.143561943911583,0.0027830067359688316,,,,4.5,Greedy,42,7,71.42857142857143
7,7,0,,71428.57142857143,,,,27.500000000000004,33.15789149202055,499.99999999999994,0.13186070088707566,0.00046273927432188806,,,,1.2,Spiral,42,7,71.42857142857143
7,7,0,,71428.57142857143,,,,35.0,32.34282685930436,499.9999999999994,0.20333277415357462,0.0013957604758133176,,,,0.3,Pizza,42,7,71.42857142857143
7,4,3,1.0,71428.57142857143,0.06655953001777333,0.25113156421747523,0.34857559502109264,27.0,13.175322766364243,469.32370000939966,0.1255720555782318,0.0024357007980397877,2.0,0.6514244049789073,925.4641996635905,4.4,Swarm_7,123,7,71.42857142857143
7,7,0,,71428.57142857143,,,,35.5,18.20209027980002,499.9999999999999,0.17267487062779627,0.0027905878660170417,,,,4.6,Greedy,123,7,71.42857142857143
7,7,0,,71428.57142857143,,,,28.000000000000004,33.15789149202055,499.99999999999994,0.13186070088707566,0.00046273927432188806,,,,1.2,Spiral,123,7,71.42857142857143
7,7,0,,71428.57142857143,,,,46.5,32.34282685930436,499.9999999999994,0.20333277415357462,0.0013957604758133176,,,,0.4,Pizza,123,7,71.42857142857143
7,4,3,1.0,71428.57142857143,0.06735241217100713,0.255658840894528,0.3401970494708857,25.5,13.375202774101485,471.82854709546336,0.12816469371318817,0.0024357007980397877,6.0,0.6598029505291143,916.3220978772538,4.5,Swarm_7,456,7,71.42857142857143
7,7,0,,71428.57142857143,,,,25.0,14.478460756411462,500.00000000000034,0.13488214127270767,0.002787560612360499,,,,4.7,Greedy,456,7,71.42857142857143
7,7,0,,71428.57142857143,,,,24.5,33.15789149202055,499.99999999999994,0.13186070088707566,0.00046273927432188806,,,,1.2,Spiral,456,7,71.42857142857143
7,7,0,,71428.57142857143,,,,43.0,32.34282685930436,499.9999999999994,0.20333277415357462,0.0013957604758133176,,,,0.4,Pizza,456,7,71.42857142857143
10,6,4,1.0,50000.0,0.07611136535371059,0.26292813871656784,0.3043964594883766,27.0,15.424638061231224,487.1362995909839,0.13410133123397827,0.0018330400535171052,23.0,0.6956035405116234,861.2557230173494,4.9,Swarm_10,42,10,50.0
10,10,0,,50000.0,,,,25.5,14.884054877421182,500.0,0.15529050216364296,0.00173098681570723,,,,4.7,Greedy,42,10,50.0
10,10,0,,50000.0,,,,27.500000000000004,33.16806147594171,500.00000000000153,0.12727899446479793,0.0004641989093637728,,,,1.4,Spiral,42,10,50.0
10,10,0,,50000.0,,,,34.5,32.001207201670205,500.00000000000017,0.2011294630574583,0.001517839602623692,,,,0.3,Pizza,42,10,50.0
10,6,4,1.0,50000.0,0.07362629175934696,0.2554472378582046,0.3258295570822979,27.500000000000004,15.02381696631614,482.31316350750274,0.13195696473121643,0.0018330400535171052,0.0,0.6741704429177021,738.3239108488002,4.3,Swarm_10,123,10,50.0
10,10,0,,50000.0,,,,24.0,13.329631560752215,499.99999999999994,0.1335287646768947,0.0014323521212013417,,,,4.6,Greedy,123,10,50.0
10,10,0,,50000.0,,,,28.999999999999996,33.16806147594171,500.00000000000153,0.12727899446479793,0.0004641989093637728,,,,1.4,Spiral,123,10,50.0
10,10,0,,50000.0,,,,45.5,32.001207201670205,500.00000000000017,0.2011294630574583,0.001517839602623692,,,,0.3,Pizza,123,10,50.0
10,6,4,1.0,50000.0,0.07362629175934696,0.2554472378582046,0.3258295570822979,27.0,15.02381696631614,482.31316350750274,0.13195696473121643,0.0018330400535171052,1.0,0.6741704429177021,738.3239108488002,4.3,Swarm_10,456,10,50.0
