Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km)
1,RandomWalk,flat,temperate,medium,5,250000,0.10104119881558049,0.008496853881294052,25.0,2.6914691581864947,250.00000000000037
1,Greedy,flat,temperate,medium,5,250000,0.26479444729291096,0.012061580019342717,87.0,7.363138614319098,250.00000000000026
1,Spiral,flat,temperate,medium,5,250000,0.2764032264024489,0.008199666247056791,96.0,10.181000091427325,153.61823856611556
1,Concentric,flat,temperate,medium,5,250000,0.27744742233703723,0.008375849853804879,100.0,10.431351366554349,158.31540986329628
1,Pizza,flat,temperate,medium,5,250000,0.2775709606383369,0.010977160574711504,100.0,10.434630900816268,162.30760897707617
2,RandomWalk,flat,temperate,medium,5,250000,0.0885986698800457,0.006093779980691286,28.999999999999996,3.3019674876980796,249.99999999999994
2,Greedy,flat,temperate,medium,5,250000,0.19495871064991824,0.010116233181974181,82.0,8.280925464536407,249.99999999999946
2,Spiral,flat,temperate,medium,5,250000,0.21249246114717715,0.006000885109455903,98.0,10.18100009142705,153.61823856611545
2,Concentric,flat,temperate,medium,5,250000,0.21297549215941053,0.005886846230835256,100.0,10.431351366502788,158.31540986329605
2,Pizza,flat,temperate,medium,5,250000,0.21304427779976562,0.006740817361516542,100.0,10.434630900816671,162.3076089770763
3,RandomWalk,flat,temperate,medium,5,250000,0.08454098103138608,0.008202215984159591,33.0,2.9682652345668488,250.0
3,Greedy,flat,temperate,medium,5,250000,0.21548250937218513,0.008799290838200363,84.0,7.929919521083187,250.00000000000028
3,Spiral,flat,temperate,medium,5,250000,0.23906126223363147,0.005807689043249931,100.0,10.181000091427311,153.6182385661156
3,Concentric,flat,temperate,medium,5,250000,0.23932867686392326,0.005907179669688035,100.0,10.43135136655434,158.3154098632963
3,Pizza,flat,temperate,medium,5,250000,0.2395009957566807,0.007954674475866255,100.0,10.434630900816273,162.3076089770762
4,RandomWalk,flat,temperate,medium,5,250000,0.08927418836576519,0.005495284443373725,35.0,3.165175639143595,250.00000000000028
4,Greedy,flat,temperate,medium,5,250000,0.224981484194932,0.007430949290660455,90.0,8.443961860221327,250.00000000000045
4,Spiral,flat,temperate,medium,5,250000,0.23738056131582355,0.0057292816819677255,100.0,10.181000091427068,153.61823856611545
4,Concentric,flat,temperate,medium,5,250000,0.23712552942891538,0.005693079556886836,100.0,10.431351366502815,158.31540986329608
4,Pizza,flat,temperate,medium,5,250000,0.23725948420459797,0.007171173237072049,100.0,10.434630900816662,162.3076089770763
5,RandomWalk,flat,temperate,medium,5,250000,0.09577968986685063,0.0067499136538499505,39.0,3.1736562225838405,250.00000000000023
