Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km)
1,RandomWalk,flat,temperate,medium,5,100000,0.06576446397725444,0.0092306042419679,17.0,1.560142425941618,100.00000000000014
1,Greedy,flat,temperate,medium,5,100000,0.20006179574244654,0.012385164285952389,49.0,4.706318722335577,99.99999999999989
1,Spiral,flat,temperate,medium,5,100000,0.18888123435980742,0.008191468628987314,61.0,6.641881290759641,99.99999999999979
1,Concentric,flat,temperate,medium,5,100000,0.18954921595377697,0.00841214218805011,63.0,6.609348901400682,99.99999999999976
1,Pizza,flat,temperate,medium,5,100000,0.197800450478216,0.010994221094487996,45.0,6.377864042127233,99.99999999999935
2,RandomWalk,flat,temperate,medium,5,100000,0.05148067127462416,0.004630860586175374,12.0,1.4708798281977977,100.00000000000043
2,Greedy,flat,temperate,medium,5,100000,0.13813954277082566,0.010128968972275155,41.0,4.919054412885246,100.0000000000002
2,Spiral,flat,temperate,medium,5,100000,0.1457319269043351,0.005994260486835278,80.0,6.641881290759327,99.99999999999973
2,Concentric,flat,temperate,medium,5,100000,0.14630380642534613,0.005912872883980059,75.0,6.609348901400236,100.00000000000006
2,Pizza,flat,temperate,medium,5,100000,0.15663145549666863,0.006747095871455143,53.0,6.377864042127107,100.0000000000002
3,RandomWalk,flat,temperate,medium,5,100000,0.042132065495012874,0.004422643887181444,17.0,1.1945531235191116,99.99999999999959
3,Greedy,flat,temperate,medium,5,100000,0.15742873932622803,0.009280884827791065,53.0,4.905427665708441,100.00000000000038
3,Spiral,flat,temperate,medium,5,100000,0.16192449643066925,0.005801518433202243,65.0,6.6418812907596205,99.9999999999998
3,Concentric,flat,temperate,medium,5,100000,0.1606849276566443,0.005923244535810276,62.0,6.60934890140067,99.99999999999976
3,Pizza,flat,temperate,medium,5,100000,0.17742072402310424,0.007973673817573084,64.0,6.377864042127221,99.99999999999935
4,RandomWalk,flat,temperate,medium,5,100000,0.044209834010194154,0.00563172464802299,10.0,1.161825219877738,100.00000000000004
4,Greedy,flat,temperate,medium,5,100000,0.1562132095564828,0.007459075902365478,49.0,4.839033147225419,99.99999999999942
4,Spiral,flat,temperate,medium,5,100000,0.16100946310740355,0.005722526011005954,57.99999999999999,6.641881290759365,99.99999999999974
4,Concentric,flat,temperate,medium,5,100000,0.1589872637999141,0.0057164385993017435,59.0,6.609348901400251,100.00000000000009
4,Pizza,flat,temperate,medium,5,100000,0.17675044371959608,0.0071829011398375844,71.0,6.3778640421271,100.0000000000002
5,RandomWalk,flat,temperate,medium,5,100000,0.05659696092677882,0.005615012713507292,21.0,1.8257769957472538,100.00000000000026
5,Greedy,flat,temperate,medium,5,100000,0.13758291196987565,0.008686881632080732,50.0,4.195141177040398,100.00000000000041
5,Spiral,flat,temperate,medium,5,100000,0.16538158657405994,0.005775497580498743,62.0,6.641881290759641,99.99999999999979
5,Concentric,flat,temperate,medium,5,100000,0.1628897643275771,0.005730307883377991,59.0,6.609348901400682,99.99999999999976
5,Pizza,flat,temperate,medium,5,100000,0.1774479581064708,0.006764082553971074,63.0,6.377864042127233,99.99999999999935
6,RandomWalk,flat,temperate,medium,5,100000,0.05157689172399135,0.004191780687799915,17.0,1.7011062246185022,99.99999999999973
6,Greedy,flat,temperate,medium,5,100000,0.16400011883917454,0.0075828822160773236,56.00000000000001,5.500611528718546,100.00000000000047
6,Spiral,flat,temperate,medium,5,100000,0.15602581413422584,0.0050021236784892524,62.0,6.641881290759365,99.99999999999974
6,Concentric,flat,temperate,medium,5,100000,0.15375275643229475,0.005132912724122297,57.99999999999999,6.609348901400251,100.00000000000009
6,Pizza,flat,temperate,medium,5,100000,0.1674366333245522,0.006699211270015995,69.0,6.3778640421271,100.0000000000002
7,RandomWalk,flat,temperate,medium,5,100000,0.04255830394396944,0.006467746263610223,9.0,1.4118944815356729,99.99999999999997
