Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km)
9,Spiral,flat,temperate,medium,1,100000,0.1749864116744049,0.0041662124817809084,64.0,6.627888122020379,99.99999999999994
9,Concentric,flat,temperate,medium,1,100000,0.17265675962871974,0.004259286601824056,65.0,6.582219955700264,100.00000000000017
9,Pizza,flat,temperate,medium,1,100000,0.17348632610751896,0.004120541032690313,66.0,6.5792757995402225,100.0000000000002
10,RandomWalk,flat,temperate,medium,1,100000,0.014452460997193429,0.0008476822686471923,14.000000000000002,1.4586858120902921,99.9999999999999
10,Greedy,flat,temperate,medium,1,100000,0.12583854392069074,0.010057418321758943,57.99999999999999,3.08017261913048,100.00000000000018
10,Spiral,flat,temperate,medium,1,100000,0.15287417833809253,0.001637649722734599,80.0,6.627888122020389,99.99999999999994
10,Concentric,flat,temperate,medium,1,100000,0.152480034872178,0.001500287426740473,79.0,6.582219955700275,100.00000000000017
10,Pizza,flat,temperate,medium,1,100000,0.15277393239111564,0.0016512082113261087,79.0,6.579275799540185,100.00000000000021
11,RandomWalk,flat,temperate,medium,1,100000,0.0699824429209563,0.008149274683737108,9.0,1.5924626250201865,99.99999999999997
11,Greedy,flat,temperate,medium,1,100000,0.1978054171363031,0.012749709217251954,57.99999999999999,5.172380740720095,100.00000000000031
11,Spiral,flat,temperate,medium,1,100000,0.23034346869710695,0.007395570003265766,42.0,6.627888122020389,99.99999999999994
11,Concentric,flat,temperate,medium,1,100000,0.2283810962893624,0.007594511277220125,41.0,6.582219955700275,100.00000000000017
11,Pizza,flat,temperate,medium,1,100000,0.2289734051203134,0.007401514709703553,42.0,6.579275799540185,100.00000000000021
12,RandomWalk,flat,temperate,medium,1,100000,0.061400802338428595,0.007194429429593221,11.0,1.4758865801087515,100.00000000000018
12,Greedy,flat,temperate,medium,1,100000,0.1972512353633789,0.011080337667010786,27.0,5.023073039027604,99.99999999999976
12,Spiral,flat,temperate,medium,1,100000,0.2360813736332022,0.006642665801733945,51.0,6.627888122020389,99.99999999999994
12,Concentric,flat,temperate,medium,1,100000,0.2337173898419555,0.006619587058308076,51.0,6.582219955700275,100.00000000000017
12,Pizza,flat,temperate,medium,1,100000,0.23390989850795027,0.006532744966522383,49.0,6.579275799540185,100.00000000000021
13,RandomWalk,flat,temperate,medium,1,100000,0.050499712685282395,0.0066964076565000545,18.0,1.56543957486269,100.00000000000026
13,Greedy,flat,temperate,medium,1,100000,0.16424827348823914,0.01130710976346687,35.0,4.052814351195563,99.99999999999996
13,Spiral,flat,temperate,medium,1,100000,0.24381139721909661,0.007062114065209947,51.0,6.627888122020274,99.99999999999987
