Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km)
1,RandomWalk,flat,temperate,medium,2,100000,0.046912616732737375,0.008057779308620694,17.0,1.3548208516263722,100.0
1,Greedy,flat,temperate,medium,2,100000,0.19359606888319017,0.013213047279582921,48.0,4.823358088023086,99.99999999999947
1,Spiral,flat,temperate,medium,2,100000,0.1965154852672919,0.008186293057392123,56.99999999999999,6.631366877143253,99.99999999999997
1,Concentric,flat,temperate,medium,2,100000,0.1950289823344325,0.008380290385453544,64.0,6.5901564215605495,100.00000000000044
1,Pizza,flat,temperate,medium,2,100000,0.20237238652375558,0.009650811011024291,52.0,6.527974293216743,99.99999999999956
2,RandomWalk,flat,temperate,medium,2,100000,0.03782114868209336,0.003538333048627367,11.0,1.4921073341324793,100.0000000000004
2,Greedy,flat,temperate,medium,2,100000,0.13260380978820027,0.010262392298183086,43.0,5.051044523676544,99.99999999999997
2,Spiral,flat,temperate,medium,2,100000,0.15633018314286168,0.0059956927789101755,60.0,6.631366877142934,99.99999999999989
2,Concentric,flat,temperate,medium,2,100000,0.15462656019631787,0.005889557780747615,64.0,6.590156421560574,100.00000000000023
2,Pizza,flat,temperate,medium,2,100000,0.16041358176683423,0.00662030633826594,52.0,6.527974293216549,99.99999999999956
3,RandomWalk,flat,temperate,medium,2,100000,0.03977281257095578,0.007901781908837655,19.0,1.3714293678398464,100.00000000000003
3,Greedy,flat,temperate,medium,2,100000,0.15220464354975746,0.011736222428588074,55.00000000000001,4.7109854794643,99.99999999999991
3,Spiral,flat,temperate,medium,2,100000,0.1697911756782835,0.005806398525026869,71.0,6.631366877143237,99.99999999999997
3,Concentric,flat,temperate,medium,2,100000,0.16830343933864578,0.005903771537500403,72.0,6.590156421560551,100.00000000000044
3,Pizza,flat,temperate,medium,2,100000,0.1807839104940181,0.006176139595081326,74.0,6.527974293216761,99.99999999999959
4,RandomWalk,flat,temperate,medium,2,100000,0.04962233099508773,0.0067468194228157375,24.0,1.6403144893463275,99.99999999999947
4,Greedy,flat,temperate,medium,2,100000,0.1536631645614512,0.008710743258544299,56.00000000000001,4.781397316804724,100.00000000000004
4,Spiral,flat,temperate,medium,2,100000,0.17043502097021798,0.005724064396757988,66.0,6.6313668771429395,99.99999999999989
